poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
37,2019-03-22,2019-04-04,12,cdu/csu,29.000,29.000,0.000,0.000,0.206,0.619,3.441,0.143,0.286,0.190,1.500,5.800,3.100,4.909,3.750,2,5,10,11,8,21,17,825.524,True,False,4.000,CDU/CSU,0.095,0.238,0.476,0.524,0.381,66,6,10,23,39,16,0.030,0.076,0.152,0.167,0.121,0.333,0.500,0.435,0.282,0.500,Regierung,1.000,0.000,19.000,WP19,2019,3,13,0.970,2.909,6.900,0.818,1.182,0.909,5.000,8.800,7.500,6.500,9.000,11,10,1,5,6,8,4,0.091,0.455,0.545,0.727,0.364,0.763,2.290,3.459,0.675,0.896,0.719,3.500,3.000,4.400,1.591,5.250,2019-03-22,-2.649
38,2019-04-04,2019-04-18,12,linke,8.000,8.000,0.000,0.000,0.497,1.492,1.226,0.458,0.949,0.085,0.636,2.400,0.600,1.095,1.348,11,5,5,21,23,59,45,551.254,True,False,0.000,Die Linke,0.186,0.085,0.085,0.356,0.390,446,76,46,50,153,194,0.025,0.011,0.011,0.047,0.052,0.145,0.109,0.100,0.137,0.119,Opposition,0.000,1.000,19.000,WP19,2019,4,14,0.765,2.294,6.489,0.706,1.176,0.412,8.667,8.000,6.214,4.960,7.000,68,58,15,23,14,25,44,0.221,0.338,0.206,0.368,0.647,0.268,0.803,5.263,0.248,0.227,0.327,8.030,5.600,5.614,3.865,5.652,2019-04-04,-2.649
40,2019-05-02,2019-05-17,12,cdu/csu,28.000,29.000,-1.000,1.000,0.107,0.321,2.609,0.079,0.157,0.086,2.591,4.581,3.571,3.212,2.413,22,31,7,33,80,140,101,694.486,True,False,4.000,CDU/CSU,0.157,0.221,0.050,0.236,0.571,414,76,85,25,113,223,0.053,0.075,0.017,0.080,0.193,0.289,0.365,0.280,0.292,0.359,Regierung,1.000,0.000,19.000,WP19,2019,5,15,0.874,2.621,6.536,0.894,1.348,0.379,9.125,7.900,7.556,5.583,7.170,66,53,8,20,9,24,47,0.121,0.303,0.136,0.364,0.712,0.767,2.300,3.927,0.815,1.191,0.293,6.534,3.319,3.984,2.371,4.758,2019-05-02,-2.649
41,2019-05-17,2019-06-06,13,linke,8.000,9.000,-1.000,1.000,0.333,1.000,1.733,0.300,0.700,0.000,1.000,2.000,0.000,0.750,1.875,3,2,1,4,8,10,10,641.400,True,False,0.000,Die Linke,0.300,0.200,0.100,0.400,0.800,86,31,7,12,31,60,0.035,0.023,0.012,0.047,0.093,0.097,0.286,0.083,0.129,0.133,Opposition,0.000,1.000,19.000,WP19,2019,5,20,1.111,3.333,8.044,0.933,1.600,0.800,8.333,9.000,9.500,7.000,8.083,15,15,6,4,2,5,12,0.400,0.267,0.133,0.333,0.800,0.778,2.333,6.311,0.633,0.900,0.800,7.333,7.000,9.500,6.250,6.208,2019-05-17,-1.649
42,2019-06-06,2019-06-28,13,cdu/csu,25.000,29.000,-4.000,4.000,0.140,0.421,2.591,0.092,0.197,0.132,2.714,4.440,3.071,3.056,2.460,21,25,14,54,63,152,103,675.191,True,False,4.000,CDU/CSU,0.138,0.164,0.092,0.355,0.414,450,67,92,56,176,170,0.047,0.056,0.031,0.120,0.140,0.313,0.272,0.250,0.307,0.371,Regierung,1.000,0.000,19.000,WP19,2019,6,22,0.945,2.836,7.156,0.904,1.356,0.575,8.545,8.185,8.176,6.267,7.614,73,52,11,27,17,30,44,0.151,0.370,0.233,0.411,0.603,0.805,2.415,4.565,0.812,1.159,0.444,5.831,3.745,5.105,3.211,5.153,2019-06-06,-1.649
43,2019-06-28,2019-07-04,12,cdu/csu,26.000,25.000,1.000,1.000,0.040,0.120,1.583,0.040,0.080,0.000,2.600,2.000,,0.000,1.286,5,1,0,2,7,25,12,751.880,True,False,4.000,CDU/CSU,0.200,0.040,0.000,0.080,0.280,75,19,7,4,10,20,0.067,0.013,0.000,0.027,0.093,0.263,0.143,0.000,0.200,0.350,Regierung,1.000,0.000,19.000,WP19,2019,6,6,0.611,1.833,6.800,0.667,0.750,0.417,7.600,9.500,8.000,2.000,7.500,12,10,5,2,1,2,6,0.417,0.167,0.083,0.167,0.500,0.571,1.713,5.217,0.627,0.670,0.417,5.000,7.500,,2.000,6.214,2019-06-28,-2.649
48,2019-09-05,2019-09-20,15,spd,14.000,14.000,0.000,0.000,0.141,0.423,1.474,0.173,0.231,0.019,1.480,1.800,0.429,2.250,1.190,25,5,7,8,21,52,38,758.462,True,False,2.000,SPD,0.481,0.096,0.135,0.154,0.404,214,104,18,23,43,83,0.117,0.023,0.033,0.037,0.098,0.240,0.278,0.304,0.186,0.253,Regierung,1.000,0.000,19.000,WP19,2019,9,15,1.035,3.105,7.589,0.974,1.526,0.605,7.500,8.118,8.375,7.308,7.724,38,35,20,17,8,13,29,0.526,0.447,0.211,0.342,0.763,0.894,2.682,6.115,0.801,1.296,0.586,6.020,6.318,7.946,5.058,6.534,2019-09-05,0.351
49,2019-09-20,2019-10-11,14,cdu/csu,27.000,27.000,0.000,0.000,0.132,0.395,1.963,0.128,0.209,0.058,2.381,3.667,1.000,2.083,1.652,21,6,2,12,23,86,49,654.791,True,False,4.000,CDU/CSU,0.244,0.070,0.023,0.140,0.267,261,62,25,18,40,70,0.080,0.023,0.008,0.046,0.088,0.339,0.240,0.111,0.300,0.329,Regierung,1.000,0.000,19.000,WP19,2019,9,21,0.833,2.500,6.645,0.905,1.262,0.333,8.143,7.091,6.000,5.700,7.174,42,31,14,11,4,10,23,0.333,0.262,0.095,0.238,0.548,0.702,2.105,4.683,0.777,1.053,0.275,5.762,3.424,5.000,3.617,5.522,2019-09-20,-0.649
50,2019-10-11,2019-10-18,14,cdu/csu,28.000,27.000,1.000,1.000,0.092,0.277,2.252,0.046,0.169,0.062,2.333,3.625,0.500,2.250,1.522,12,8,6,20,23,65,41,640.523,True,False,4.000,CDU/CSU,0.185,0.123,0.092,0.308,0.354,185,44,17,13,59,58,0.065,0.043,0.032,0.108,0.124,0.273,0.471,0.462,0.339,0.397,Regierung,1.000,0.000,19.000,WP19,2019,10,7,0.929,2.786,6.481,0.929,1.321,0.536,8.333,7.250,6.000,5.500,7.222,28,22,6,12,5,12,18,0.214,0.429,0.179,0.429,0.643,0.836,2.509,4.229,0.882,1.152,0.474,6.000,3.625,5.500,3.250,5.700,2019-10-11,-0.649
51,2019-10-18,2019-11-07,14,spd,14.000,13.000,1.000,1.000,0.164,0.493,1.390,0.151,0.260,0.082,1.286,2.833,0.400,1.353,1.444,14,6,5,17,18,73,40,614.342,True,False,2.000,SPD,0.192,0.082,0.068,0.233,0.247,314,63,25,12,68,78,0.045,0.019,0.016,0.054,0.057,0.222,0.240,0.417,0.250,0.231,Regierung,1.000,0.000,19.000,WP19,2019,10,20,0.887,2.660,7.286,0.925,1.321,0.415,7.667,7.929,8.091,7.500,7.364,53,42,12,14,11,20,33,0.226,0.264,0.208,0.377,0.623,0.722,2.167,5.896,0.774,1.060,0.333,6.381,5.095,7.691,6.147,5.919,2019-10-18,-0.649
52,2019-11-07,2019-11-15,14,cdu/csu,26.000,28.000,-2.000,2.000,0.108,0.324,2.863,0.094,0.173,0.058,3.385,6.286,0.625,3.364,2.250,26,7,8,44,52,139,89,685.597,True,False,4.000,CDU/CSU,0.187,0.050,0.058,0.317,0.374,427,98,43,45,147,159,0.061,0.016,0.019,0.103,0.122,0.265,0.163,0.178,0.299,0.327,Regierung,1.000,0.000,19.000,WP19,2019,11,8,0.817,2.452,6.613,0.822,1.205,0.425,7.421,7.952,7.400,6.000,7.163,73,54,19,21,15,29,43,0.260,0.288,0.205,0.397,0.589,0.709,2.128,3.750,0.728,1.033,0.367,4.036,1.667,6.775,2.636,4.913,2019-11-07,-0.649
53,2019-11-15,2019-12-05,14,spd,15.000,14.000,1.000,1.000,0.106,0.319,1.482,0.087,0.188,0.043,1.515,1.857,0.857,1.846,1.200,33,7,7,13,30,69,51,765.696,True,False,2.000,SPD,0.478,0.101,0.101,0.188,0.435,293,133,29,20,66,120,0.113,0.024,0.024,0.044,0.102,0.248,0.241,0.350,0.197,0.250,Regierung,1.000,0.000,19.000,WP19,2019,11,20,0.975,2.926,6.778,0.926,1.519,0.481,7.615,8.050,7.750,5.312,6.974,54,51,26,20,8,16,39,0.481,0.370,0.148,0.296,0.722,0.869,2.607,5.296,0.839,1.330,0.438,6.100,6.193,6.893,3.466,5.774,2019-11-15,-0.649
54,2019-12-05,2019-12-13,15,cdu/csu,25.000,25.000,0.000,0.000,0.118,0.354,2.097,0.062,0.229,0.062,4.750,1.500,2.167,1.286,1.357,4,4,6,14,14,48,24,670.771,True,False,4.000,CDU/CSU,0.083,0.083,0.125,0.292,0.292,150,17,16,26,49,46,0.027,0.027,0.040,0.093,0.093,0.235,0.250,0.231,0.286,0.304,Regierung,1.000,0.000,19.000,WP19,2019,12,8,0.667,2.000,5.574,0.680,1.120,0.200,5.750,7.400,6.333,3.714,6.200,25,18,4,5,3,7,15,0.160,0.200,0.120,0.280,0.600,0.549,1.646,3.477,0.618,0.891,0.138,1.000,5.900,4.167,2.429,4.843,2019-12-05,0.351
55,2019-12-13,2020-01-09,15,spd,14.000,13.000,1.000,1.000,0.132,0.397,1.781,0.059,0.250,0.088,1.438,1.909,0.167,2.100,1.148,16,11,6,20,27,68,45,704.735,True,False,2.000,SPD,0.235,0.162,0.088,0.294,0.397,310,78,32,21,99,108,0.052,0.035,0.019,0.065,0.087,0.205,0.344,0.286,0.202,0.250,Regierung,1.000,0.000,19.000,WP19,2019,12,27,0.941,2.824,7.061,0.863,1.314,0.647,7.882,8.450,7.857,6.000,7.800,51,44,17,20,7,21,35,0.333,0.392,0.137,0.412,0.686,0.809,2.426,5.279,0.804,1.064,0.559,6.445,6.541,7.690,3.900,6.652,2019-12-13,0.351
56,2020-01-09,2020-01-24,14,spd,13.000,14.000,-1.000,1.000,0.086,0.259,1.618,0.074,0.130,0.056,1.722,3.000,0.333,2.038,1.048,18,4,6,26,21,54,48,620.759,True,False,2.000,SPD,0.333,0.074,0.111,0.481,0.389,241,77,19,26,117,89,0.075,0.017,0.025,0.108,0.087,0.234,0.211,0.231,0.222,0.236,Regierung,1.000,0.000,19.000,WP19,2020,1,15,0.807,2.421,6.308,0.763,1.368,0.289,8.571,9.333,6.500,4.950,7.375,38,36,14,6,4,20,24,0.368,0.158,0.105,0.526,0.632,0.721,2.162,4.690,0.689,1.239,0.234,6.849,6.333,6.167,2.912,6.327,2020-01-09,-0.649
57,2020-01-24,2020-02-06,14,spd,14.000,13.000,1.000,1.000,0.130,0.391,1.508,0.152,0.196,0.043,1.579,0.800,0.600,1.231,0.500,19,5,5,13,10,46,32,616.196,True,False,2.000,SPD,0.413,0.109,0.109,0.283,0.217,194,56,18,19,58,66,0.098,0.026,0.026,0.067,0.052,0.339,0.278,0.263,0.224,0.152,Regierung,1.000,0.000,19.000,WP19,2020,1,13,0.621,1.862,7.619,0.448,1.172,0.241,8.625,6.750,7.667,7.250,7.688,29,21,8,4,6,8,16,0.276,0.138,0.207,0.276,0.552,0.490,1.471,6.111,0.296,0.977,0.198,7.046,5.950,7.067,6.019,7.188,2020-01-24,-0.649
58,2020-02-06,2020-02-13,14,cdu/csu,27.000,26.000,1.000,1.000,0.000,0.000,1.100,0.000,0.000,0.000,1.000,,,2.000,1.000,2,0,0,1,10,13,10,622.692,True,False,4.000,CDU/CSU,0.154,0.000,0.000,0.077,0.769,40,7,4,1,6,29,0.050,0.000,0.000,0.025,0.250,0.286,0.000,0.000,0.167,0.345,Regierung,1.000,0.000,19.000,WP19,2020,2,7,0.524,1.571,4.310,0.429,0.857,0.286,,9.000,,4.667,4.286,7,7,0,1,0,3,7,0.000,0.143,0.000,0.429,1.000,0.524,1.571,3.210,0.429,0.857,0.286,,,,2.667,3.286,2020-02-06,-0.649
59,2020-02-13,2020-03-05,14,spd,16.000,14.000,2.000,2.000,0.192,0.577,1.320,0.173,0.269,0.135,1.667,1.333,0.800,1.000,1.053,9,9,5,10,19,52,32,597.250,True,False,2.000,SPD,0.173,0.173,0.096,0.192,0.365,222,45,36,18,57,98,0.041,0.041,0.023,0.045,0.086,0.200,0.250,0.278,0.175,0.194,Regierung,1.000,0.000,19.000,WP19,2020,2,21,0.879,2.636,6.872,0.758,1.303,0.576,7.000,7.167,6.625,6.750,6.850,33,27,9,12,8,12,20,0.273,0.364,0.242,0.364,0.606,0.686,2.059,5.552,0.584,1.034,0.441,5.333,5.833,5.825,5.750,5.797,2020-02-13,-0.649
60,2020-03-05,2020-03-20,12,cdu/csu,27.000,26.000,1.000,1.000,0.147,0.442,2.428,0.075,0.275,0.092,2.312,3.913,0.909,3.148,1.796,16,23,11,27,49,120,75,677.300,True,False,4.000,CDU/CSU,0.133,0.192,0.092,0.225,0.408,372,67,71,49,102,152,0.043,0.062,0.030,0.073,0.132,0.239,0.324,0.224,0.265,0.322,Regierung,1.000,0.000,19.000,WP19,2020,3,15,0.757,2.271,6.527,0.695,1.153,0.424,7.364,7.474,8.400,6.450,6.545,59,44,11,19,5,20,33,0.186,0.322,0.085,0.339,0.559,0.610,1.830,4.099,0.620,0.878,0.332,5.051,3.561,7.491,3.302,4.750,2020-03-05,-2.649
61,2020-03-20,2020-04-02,10,linke,9.000,9.000,0.000,0.000,0.533,1.600,1.350,0.800,0.600,0.200,,2.000,0.000,1.667,0.667,0,1,1,3,3,5,5,869.200,True,False,0.000,Die Linke,0.000,0.200,0.200,0.600,0.600,47,2,2,1,23,18,0.000,0.021,0.021,0.064,0.064,0.000,0.500,1.000,0.130,0.167,Opposition,0.000,1.000,19.000,WP19,2020,3,13,0.381,1.143,4.545,0.429,0.571,0.143,,10.000,10.000,3.111,7.400,14,11,0,1,1,9,5,0.000,0.071,0.071,0.643,0.357,0.152,0.457,3.195,0.371,0.029,0.057,,8.000,10.000,1.444,6.733,2020-03-20,-4.649
63,2020-04-17,2020-05-07,9,cdu/csu,38.000,34.000,4.000,4.000,0.047,0.140,2.538,0.035,0.105,0.000,2.000,4.800,1.500,2.538,2.810,11,5,2,13,21,57,35,701.965,True,False,4.000,CDU/CSU,0.193,0.088,0.035,0.228,0.368,167,32,16,10,44,55,0.066,0.030,0.012,0.078,0.126,0.344,0.312,0.200,0.295,0.382,Regierung,1.000,0.000,19.000,WP19,2020,4,20,0.859,2.577,7.133,0.923,1.423,0.231,8.000,8.833,7.667,5.700,7.583,26,22,6,6,3,10,12,0.231,0.231,0.115,0.385,0.462,0.812,2.437,4.594,0.888,1.318,0.231,6.000,4.033,6.167,3.162,4.774,2020-04-17,-5.649
64,2020-05-07,2020-05-15,9,linke,8.000,7.000,1.000,1.000,0.417,1.250,1.580,0.455,0.727,0.068,0.833,2.667,0.833,1.500,1.692,6,6,6,12,13,44,29,488.000,True,False,0.000,Die Linke,0.136,0.136,0.136,0.273,0.295,304,43,28,18,89,110,0.020,0.020,0.020,0.039,0.043,0.140,0.214,0.333,0.135,0.118,Opposition,0.000,1.000,19.000,WP19,2020,5,8,0.859,2.578,6.895,0.844,1.444,0.289,8.286,8.200,8.250,6.167,7.300,45,41,7,10,8,24,30,0.156,0.222,0.178,0.533,0.667,0.443,1.328,5.314,0.390,0.717,0.221,7.452,5.533,7.417,4.667,5.608,2020-05-07,-5.649
65,2020-05-15,2020-06-04,10,cdu/csu,38.000,39.000,-1.000,1.000,0.081,0.244,2.289,0.042,0.143,0.059,2.579,4.750,2.154,2.576,1.500,19,8,13,33,50,119,75,674.235,True,False,4.000,CDU/CSU,0.160,0.067,0.109,0.277,0.420,331,64,30,51,104,145,0.057,0.024,0.039,0.100,0.151,0.297,0.267,0.255,0.317,0.345,Regierung,1.000,0.000,19.000,WP19,2020,5,20,0.750,2.250,6.520,0.696,1.286,0.268,7.583,8.125,6.714,5.667,7.207,56,45,12,8,7,21,29,0.214,0.143,0.125,0.375,0.518,0.669,2.006,4.231,0.654,1.143,0.209,5.004,3.375,4.560,3.091,5.707,2020-05-15,-4.649
66,2020-06-04,2020-06-26,9,cdu/csu,38.000,38.000,0.000,0.000,0.137,0.412,2.699,0.072,0.258,0.082,2.421,3.286,2.222,3.182,2.500,19,7,9,33,46,97,78,663.598,True,False,4.000,CDU/CSU,0.196,0.072,0.093,0.340,0.474,274,54,22,35,89,105,0.069,0.026,0.033,0.120,0.168,0.352,0.318,0.257,0.371,0.438,Regierung,1.000,0.000,19.000,WP19,2020,6,22,0.873,2.619,7.730,0.762,1.381,0.476,8.875,7.833,8.727,7.706,7.750,42,33,8,6,11,17,20,0.190,0.143,0.262,0.405,0.476,0.736,2.207,5.031,0.690,1.123,0.394,6.454,4.548,6.505,4.524,5.250,2020-06-04,-5.649
67,2020-06-26,2020-07-02,10,spd,16.000,15.000,1.000,1.000,0.000,0.000,1.083,0.000,0.000,0.000,2.000,,,0.000,0.500,2,0,0,1,2,8,2,868.625,True,False,2.000,SPD,0.250,0.000,0.000,0.125,0.250,55,9,2,0,7,27,0.036,0.000,0.000,0.018,0.036,0.222,0.000,,0.143,0.074,Regierung,1.000,0.000,19.000,WP19,2020,6,6,0.917,2.750,7.986,0.750,1.375,0.625,8.333,8.000,9.000,8.000,8.143,8,7,3,2,2,1,7,0.375,0.250,0.250,0.125,0.875,0.917,2.750,6.902,0.750,1.375,0.625,6.333,,,8.000,7.643,2020-06-26,-4.649
68,2020-07-02,2020-07-24,10,cdu/csu,37.000,37.000,0.000,0.000,0.103,0.308,2.890,0.038,0.231,0.038,3.312,5.333,4.000,2.850,1.500,16,3,2,20,22,78,38,699.731,True,False,4.000,CDU/CSU,0.205,0.038,0.026,0.256,0.282,228,50,14,13,57,56,0.070,0.013,0.009,0.088,0.096,0.320,0.214,0.154,0.351,0.393,Regierung,1.000,0.000,19.000,WP19,2020,7,22,0.757,2.270,6.500,0.757,1.270,0.243,7.889,8.429,7.000,5.846,7.421,37,25,9,7,5,13,19,0.243,0.189,0.135,0.351,0.514,0.654,1.963,3.610,0.718,1.040,0.205,4.576,3.095,3.000,2.996,5.921,2020-07-02,-4.649
72,2020-09-03,2020-09-18,10,spd,17.000,16.000,1.000,1.000,0.146,0.437,1.244,0.126,0.243,0.068,1.029,3.455,1.250,1.393,0.929,34,11,8,28,28,103,72,600.350,True,False,2.000,SPD,0.330,0.107,0.078,0.272,0.272,444,156,36,15,112,130,0.077,0.025,0.018,0.063,0.063,0.218,0.306,0.533,0.250,0.215,Regierung,1.000,0.000,19.000,WP19,2020,9,15,0.934,2.803,6.648,0.944,1.394,0.465,7.423,8.474,8.385,6.000,7.020,71,59,26,19,13,27,50,0.366,0.268,0.183,0.380,0.704,0.789,2.366,5.404,0.817,1.152,0.397,6.394,5.019,7.135,4.607,6.091,2020-09-03,-4.649
73,2020-09-18,2020-10-01,10,cdu/csu,36.000,36.000,0.000,0.000,0.127,0.381,2.178,0.079,0.270,0.032,3.045,2.800,1.500,2.000,1.935,22,5,4,12,31,63,45,804.921,True,False,4.000,CDU/CSU,0.349,0.079,0.063,0.190,0.492,234,65,54,14,39,126,0.094,0.021,0.017,0.051,0.132,0.338,0.093,0.286,0.308,0.246,Regierung,1.000,0.000,19.000,WP19,2020,9,13,0.990,2.971,7.218,0.914,1.600,0.457,7.462,8.583,8.000,6.900,7.167,35,29,13,12,4,10,24,0.371,0.343,0.114,0.286,0.686,0.863,2.590,5.041,0.835,1.330,0.425,4.416,5.783,6.500,4.900,5.231,2020-09-18,-4.649
74,2020-10-01,2020-10-16,10,linke,8.000,8.000,0.000,0.000,0.532,1.596,1.156,0.614,0.947,0.035,1.222,1.400,0.333,1.133,0.917,9,5,6,15,12,57,32,544.298,True,False,0.000,Die Linke,0.158,0.088,0.105,0.263,0.211,384,69,42,45,88,115,0.023,0.013,0.016,0.039,0.031,0.130,0.119,0.133,0.170,0.104,Opposition,0.000,1.000,19.000,WP19,2020,10,15,0.936,2.809,6.989,0.941,1.382,0.485,8.111,8.458,7.706,5.929,7.432,68,58,18,24,17,28,44,0.265,0.353,0.250,0.412,0.647,0.404,1.212,5.833,0.327,0.435,0.450,6.889,7.058,7.373,4.795,6.515,2020-10-01,-4.649
75,2020-10-16,2020-11-12,11,spd,15.000,15.000,0.000,0.000,0.108,0.324,1.582,0.072,0.162,0.090,1.312,3.000,0.667,1.750,0.784,16,11,9,48,37,111,72,630.766,True,False,2.000,SPD,0.144,0.099,0.081,0.432,0.333,493,75,56,46,199,176,0.032,0.022,0.018,0.097,0.075,0.213,0.196,0.196,0.241,0.210,Regierung,1.000,0.000,19.000,WP19,2020,10,27,0.885,2.654,6.853,0.864,1.284,0.506,8.615,8.120,7.375,6.455,7.064,81,65,13,25,16,44,47,0.160,0.309,0.198,0.543,0.580,0.777,2.330,5.271,0.792,1.122,0.416,7.303,5.120,6.708,4.705,6.280,2020-10-16,-3.649
76,2020-11-12,2020-11-27,10,linke,7.000,7.000,0.000,0.000,0.509,1.528,1.774,0.491,0.887,0.151,1.500,5.000,1.667,1.833,1.947,12,4,6,18,19,53,39,549.075,True,False,0.000,Die Linke,0.226,0.075,0.113,0.340,0.358,402,64,25,41,148,127,0.030,0.010,0.015,0.045,0.047,0.188,0.160,0.146,0.122,0.150,Opposition,0.000,1.000,19.000,WP19,2020,11,15,0.797,2.391,6.557,0.797,1.281,0.312,7.538,8.071,7.222,6.094,7.441,64,53,13,14,9,32,34,0.203,0.219,0.141,0.500,0.531,0.287,0.862,4.783,0.306,0.394,0.162,6.038,3.071,5.556,4.260,5.494,2020-11-12,-4.649
77,2020-11-27,2020-12-03,11,cdu/csu,35.000,36.000,-1.000,1.000,0.030,0.091,0.970,0.000,0.091,0.000,2.000,,0.833,0.625,0.400,1,0,6,8,5,22,11,720.000,True,False,4.000,CDU/CSU,0.045,0.000,0.273,0.364,0.227,66,2,5,22,22,14,0.015,0.000,0.091,0.121,0.076,0.500,0.000,0.273,0.364,0.357,Regierung,1.000,0.000,19.000,WP19,2020,11,6,1.212,3.636,7.429,1.364,1.636,0.636,,9.000,6.667,8.400,8.333,11,7,0,3,3,5,6,0.000,0.273,0.273,0.455,0.545,1.182,3.545,6.459,1.364,1.545,0.636,,,5.833,7.775,7.933,2020-11-27,-3.649
78,2020-12-03,2020-12-11,10,cdu/csu,36.000,35.000,1.000,1.000,0.102,0.305,2.072,0.085,0.169,0.051,2.360,5.500,1.750,2.000,1.577,25,4,4,11,26,59,38,922.881,True,False,4.000,CDU/CSU,0.424,0.068,0.068,0.186,0.441,198,73,12,24,42,75,0.126,0.020,0.020,0.056,0.131,0.342,0.333,0.167,0.262,0.347,Regierung,1.000,0.000,19.000,WP19,2020,12,8,1.056,3.167,7.701,1.028,1.639,0.500,8.154,8.778,8.333,7.263,8.120,36,31,13,9,9,19,25,0.361,0.250,0.250,0.528,0.694,0.954,2.862,5.628,0.943,1.469,0.449,5.794,3.278,6.583,5.263,6.543,2020-12-03,-4.649
79,2020-12-11,2021-01-07,9,linke,7.000,7.000,0.000,0.000,0.568,1.704,0.940,0.556,1.037,0.111,1.500,1.000,0.600,0.889,0.800,2,4,5,9,5,27,14,526.778,True,False,0.000,Die Linke,0.074,0.148,0.185,0.333,0.185,213,21,23,23,67,46,0.009,0.019,0.023,0.042,0.023,0.095,0.174,0.217,0.134,0.109,Opposition,0.000,1.000,19.000,WP19,2020,12,27,0.989,2.968,7.232,0.968,1.516,0.484,9.750,8.600,7.500,6.000,8.118,31,23,4,10,6,17,17,0.129,0.323,0.194,0.548,0.548,0.421,1.264,6.291,0.412,0.479,0.373,8.250,7.600,6.900,5.111,7.318,2020-12-11,-5.649
80,2021-01-07,2021-01-22,10,cdu/csu,35.000,36.000,-1.000,1.000,0.179,0.537,2.400,0.074,0.315,0.148,1.500,5.500,3.500,3.875,1.960,10,6,2,16,25,54,36,671.556,True,False,4.000,CDU/CSU,0.185,0.111,0.037,0.296,0.463,159,36,18,13,47,63,0.063,0.038,0.013,0.101,0.157,0.278,0.333,0.154,0.340,0.397,Regierung,1.000,0.000,19.000,WP19,2021,1,15,0.774,2.321,6.615,0.643,1.357,0.321,7.000,8.667,7.500,6.364,6.667,28,21,5,3,2,11,18,0.179,0.107,0.071,0.393,0.643,0.595,1.784,4.215,0.569,1.042,0.173,5.500,3.167,4.000,2.489,4.707,2021-01-07,-4.649
81,2021-01-22,2021-02-04,10,spd,15.000,14.000,1.000,1.000,0.082,0.246,1.233,0.046,0.138,0.062,1.231,4.500,1.000,1.321,0.933,13,2,5,28,15,65,45,592.662,True,False,2.000,SPD,0.200,0.031,0.077,0.431,0.231,262,47,8,17,97,70,0.050,0.008,0.019,0.107,0.057,0.277,0.250,0.294,0.289,0.214,Regierung,1.000,0.000,19.000,WP19,2021,1,13,0.783,2.350,5.851,0.775,1.375,0.200,7.571,7.500,8.333,5.235,6.650,40,29,7,2,3,17,20,0.175,0.050,0.075,0.425,0.500,0.701,2.104,4.617,0.729,1.237,0.138,6.341,3.000,7.333,3.914,5.717,2021-01-22,-4.649
