poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
14,2018-04-05,2018-04-20,14,cdu/csu,33.000,33.000,0.000,0.000,0.167,0.500,2.657,0.125,0.312,0.062,4.167,3.900,2.500,2.833,1.786,6,10,2,12,28,48,35,730.250,True,False,4.000,CDU/CSU,0.125,0.208,0.042,0.250,0.583,135,23,30,11,48,70,0.044,0.074,0.015,0.089,0.207,0.261,0.333,0.182,0.250,0.400,Regierung,1.000,0.000,19.000,WP19,2018,4,15,0.924,2.773,6.735,0.864,1.227,0.682,9.000,8.800,7.600,5.600,7.294,22,19,3,10,5,10,17,0.136,0.455,0.227,0.455,0.773,0.758,2.273,4.078,0.739,0.915,0.619,4.833,4.900,5.100,2.767,5.508,2018-04-05,-0.649
15,2018-04-20,2018-05-09,15,spd,17.000,18.000,-1.000,1.000,0.153,0.459,0.831,0.148,0.213,0.098,0.286,1.900,0.375,1.000,0.538,7,10,8,15,26,61,36,646.213,True,False,2.000,SPD,0.115,0.164,0.131,0.246,0.426,229,28,43,27,68,111,0.031,0.044,0.035,0.066,0.114,0.250,0.233,0.296,0.221,0.234,Regierung,1.000,0.000,19.000,WP19,2018,4,19,0.867,2.600,6.995,0.800,1.225,0.575,6.750,7.222,6.200,6.688,7.560,40,31,4,18,10,16,25,0.100,0.450,0.250,0.400,0.625,0.714,2.141,6.164,0.652,1.012,0.477,6.464,5.322,5.825,5.688,7.022,2018-04-20,0.351
16,2018-05-09,2018-05-18,15,cdu/csu,32.000,32.000,0.000,0.000,0.088,0.265,2.513,0.061,0.122,0.082,1.929,4.833,1.600,3.800,2.000,14,6,5,15,23,49,39,926.245,True,False,4.000,CDU/CSU,0.286,0.122,0.102,0.306,0.469,166,57,28,24,46,79,0.084,0.036,0.030,0.090,0.139,0.246,0.214,0.208,0.326,0.291,Regierung,1.000,0.000,19.000,WP19,2018,5,9,1.021,3.062,7.292,1.031,1.469,0.562,7.667,8.188,7.625,7.091,7.192,32,28,9,16,8,11,26,0.281,0.500,0.250,0.344,0.812,0.932,2.797,4.779,0.970,1.346,0.481,5.738,3.354,6.025,3.291,5.192,2018-05-09,0.351
17,2018-05-18,2018-06-14,14,linke,10.000,9.000,1.000,1.000,0.571,1.714,1.480,0.657,1.029,0.029,1.429,2.000,0.667,1.333,1.333,7,6,3,9,15,35,21,645.400,True,False,0.000,Die Linke,0.200,0.171,0.086,0.257,0.429,258,45,46,10,59,114,0.027,0.023,0.012,0.035,0.058,0.156,0.130,0.300,0.153,0.132,Opposition,0.000,1.000,19.000,WP19,2018,5,27,1.033,3.098,7.458,1.000,1.512,0.585,7.667,8.056,8.000,6.615,7.903,41,34,6,18,6,13,31,0.146,0.439,0.146,0.317,0.756,0.461,1.383,5.978,0.343,0.484,0.557,6.238,6.056,7.333,5.282,6.570,2018-05-18,-0.649
18,2018-06-14,2018-06-28,15,cdu/csu,31.000,33.000,-2.000,2.000,0.201,0.603,3.285,0.147,0.279,0.176,2.000,5.714,1.500,3.421,3.053,3,21,2,19,38,68,48,711.632,True,False,4.000,CDU/CSU,0.044,0.309,0.029,0.279,0.559,194,17,62,15,73,107,0.015,0.108,0.010,0.098,0.196,0.176,0.339,0.133,0.260,0.355,Regierung,1.000,0.000,19.000,WP19,2018,6,14,1.189,3.567,7.373,1.133,1.567,0.867,8.000,8.857,7.750,7.000,7.458,30,25,1,14,8,15,24,0.033,0.467,0.267,0.500,0.800,0.988,2.964,4.089,0.986,1.287,0.690,6.000,3.143,6.250,3.579,4.406,2018-06-14,0.351
19,2018-06-28,2018-07-05,14,linke,9.000,10.000,-1.000,1.000,0.442,1.327,1.253,0.423,0.808,0.096,0.571,2.750,0.286,1.182,1.190,14,12,7,11,21,52,39,632.712,True,False,0.000,Die Linke,0.269,0.231,0.135,0.212,0.404,358,99,61,28,83,156,0.039,0.034,0.020,0.031,0.059,0.141,0.197,0.250,0.133,0.135,Opposition,0.000,1.000,19.000,WP19,2018,6,7,0.883,2.650,7.056,0.817,1.333,0.500,7.278,8.240,7.750,6.263,7.357,60,50,18,25,16,19,42,0.300,0.417,0.267,0.317,0.700,0.441,1.323,5.803,0.394,0.526,0.404,6.706,5.490,7.464,5.081,6.167,2018-06-28,-0.649
20,2018-07-05,2018-07-27,16,cdu/csu,30.000,32.000,-2.000,2.000,0.083,0.250,2.630,0.125,0.042,0.083,3.750,4.000,3.000,3.143,1.545,4,7,2,7,11,24,16,916.792,True,False,4.000,CDU/CSU,0.167,0.292,0.083,0.292,0.458,79,18,22,10,25,30,0.051,0.089,0.025,0.089,0.139,0.222,0.318,0.200,0.280,0.367,Regierung,1.000,0.000,19.000,WP19,2018,7,22,1.231,3.692,7.564,1.154,1.692,0.846,,8.444,7.800,8.000,7.615,13,13,0,9,5,4,13,0.000,0.692,0.385,0.308,1.000,1.147,3.442,4.934,1.029,1.651,0.763,,4.444,4.800,4.857,6.070,2018-07-05,1.351
24,2018-09-06,2018-09-21,16,cdu/csu,29.000,29.000,0.000,0.000,0.095,0.286,2.583,0.127,0.095,0.063,2.812,5.300,2.333,3.000,2.111,16,10,6,16,36,63,48,936.746,True,False,4.000,CDU/CSU,0.254,0.159,0.095,0.254,0.571,215,65,41,16,57,105,0.074,0.047,0.028,0.074,0.167,0.246,0.244,0.375,0.281,0.343,Regierung,1.000,0.000,19.000,WP19,2018,9,15,1.244,3.732,7.694,1.244,1.610,0.878,7.917,8.409,8.091,7.353,7.867,41,35,12,22,11,17,30,0.293,0.537,0.268,0.415,0.732,1.149,3.446,5.110,1.117,1.515,0.815,5.104,3.109,5.758,4.353,5.756,2018-09-06,1.351
25,2018-09-21,2018-10-11,18,spd,17.000,18.000,-1.000,1.000,0.176,0.527,1.387,0.164,0.291,0.073,1.286,2.400,0.667,1.267,0.895,14,10,3,15,19,55,34,703.964,True,False,2.000,SPD,0.255,0.182,0.055,0.273,0.345,242,61,34,13,60,81,0.058,0.041,0.012,0.062,0.079,0.230,0.294,0.231,0.250,0.235,Regierung,1.000,0.000,19.000,WP19,2018,9,20,0.915,2.744,7.131,0.860,1.395,0.488,7.692,8.059,7.857,6.500,7.276,43,37,13,17,7,16,29,0.302,0.395,0.163,0.372,0.674,0.739,2.217,5.743,0.697,1.104,0.416,6.407,5.659,7.190,5.233,6.381,2018-09-21,3.351
26,2018-10-11,2018-10-19,16,cdu/csu,26.000,28.000,-2.000,2.000,0.092,0.276,2.692,0.078,0.103,0.095,2.533,4.810,2.000,1.962,2.474,15,21,11,26,38,116,66,766.828,True,False,4.000,CDU/CSU,0.129,0.181,0.095,0.224,0.328,350,53,65,45,102,128,0.043,0.060,0.031,0.074,0.109,0.283,0.323,0.244,0.255,0.297,Regierung,1.000,0.000,19.000,WP19,2018,10,8,0.798,2.393,6.396,0.768,1.214,0.411,7.889,7.632,9.429,5.458,6.486,56,44,9,19,7,24,35,0.161,0.339,0.125,0.429,0.625,0.706,2.117,3.704,0.690,1.111,0.316,5.356,2.822,7.429,3.497,4.012,2018-10-11,1.351
