hypothesis,operationalization,model_label,model,outcome,predictor,moderator,interaction,expected_direction,coefficient,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,n_observations,n_clusters,n_periods,r_squared,adjusted_r_squared,afd_support_mean,electoral_loss_mean,electoral_loss_sd,supported,interpretation
H1b,distance,Positionelle Distanz zur AfD,party_and_period_fixed_effects,gal_tan_distance_to_afd,afd_support_t,electoral_loss,afd_x_loss,negative,0.002,0.010,0.208,0.846,-0.025,0.029,719,5,3,0.466,0.459,14.513,0.014,1.174,False,Positionelle Distanz zur AfD: Der Interaktionseffekt weist nicht in die erwartete Richtung und ist nicht statistisch signifikant.
H1b,absolute,Absolute GAL-TAN-Position,party_and_period_fixed_effects,mean_gal_tan_score,afd_support_t,electoral_loss,afd_x_loss,positive,-0.007,0.003,-2.520,0.065,-0.014,0.001,726,5,3,0.624,0.620,14.529,0.015,1.171,False,Absolute GAL-TAN-Position: Der Interaktionseffekt weist nicht in die erwartete Richtung und ist nicht statistisch signifikant.
