afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_gal_tan,ci_95_low,ci_95_high
20.505,1.187,cdu/csu,WP19,5.976,1.171,7.000,Hoher Verlust,3.390,3.200,3.581
20.677,1.187,cdu/csu,WP19,6.148,1.171,7.202,Hoher Verlust,3.400,3.207,3.593
20.848,1.187,cdu/csu,WP19,6.320,1.171,7.403,Hoher Verlust,3.410,3.214,3.606
21.020,1.187,cdu/csu,WP19,6.491,1.171,7.604,Hoher Verlust,3.420,3.221,3.619
21.192,1.187,cdu/csu,WP19,6.663,1.171,7.805,Hoher Verlust,3.430,3.228,3.632
21.364,1.187,cdu/csu,WP19,6.835,1.171,8.006,Hoher Verlust,3.440,3.236,3.645
21.535,1.187,cdu/csu,WP19,7.006,1.171,8.207,Hoher Verlust,3.450,3.243,3.658
21.707,1.187,cdu/csu,WP19,7.178,1.171,8.408,Hoher Verlust,3.460,3.250,3.671
21.879,1.187,cdu/csu,WP19,7.350,1.171,8.610,Hoher Verlust,3.470,3.257,3.683
22.051,1.187,cdu/csu,WP19,7.522,1.171,8.811,Hoher Verlust,3.480,3.264,3.696
22.222,1.187,cdu/csu,WP19,7.693,1.171,9.012,Hoher Verlust,3.490,3.271,3.709
22.394,1.187,cdu/csu,WP19,7.865,1.171,9.213,Hoher Verlust,3.500,3.278,3.722
22.566,1.187,cdu/csu,WP19,8.037,1.171,9.414,Hoher Verlust,3.510,3.285,3.735
22.737,1.187,cdu/csu,WP19,8.208,1.171,9.615,Hoher Verlust,3.520,3.292,3.748
22.909,1.187,cdu/csu,WP19,8.380,1.171,9.817,Hoher Verlust,3.530,3.299,3.761
23.081,1.187,cdu/csu,WP19,8.552,1.171,10.018,Hoher Verlust,3.540,3.306,3.774
23.253,1.187,cdu/csu,WP19,8.724,1.171,10.219,Hoher Verlust,3.550,3.313,3.787
23.424,1.187,cdu/csu,WP19,8.895,1.171,10.420,Hoher Verlust,3.560,3.320,3.800
23.596,1.187,cdu/csu,WP19,9.067,1.171,10.621,Hoher Verlust,3.570,3.327,3.814
23.768,1.187,cdu/csu,WP19,9.239,1.171,10.822,Hoher Verlust,3.580,3.334,3.827
23.939,1.187,cdu/csu,WP19,9.410,1.171,11.023,Hoher Verlust,3.590,3.341,3.840
24.111,1.187,cdu/csu,WP19,9.582,1.171,11.225,Hoher Verlust,3.600,3.348,3.853
24.283,1.187,cdu/csu,WP19,9.754,1.171,11.426,Hoher Verlust,3.610,3.355,3.866
24.455,1.187,cdu/csu,WP19,9.926,1.171,11.627,Hoher Verlust,3.620,3.362,3.879
24.626,1.187,cdu/csu,WP19,10.097,1.171,11.828,Hoher Verlust,3.630,3.368,3.892
24.798,1.187,cdu/csu,WP19,10.269,1.171,12.029,Hoher Verlust,3.640,3.375,3.905
24.970,1.187,cdu/csu,WP19,10.441,1.171,12.230,Hoher Verlust,3.650,3.382,3.918
25.141,1.187,cdu/csu,WP19,10.612,1.171,12.431,Hoher Verlust,3.660,3.389,3.932
25.313,1.187,cdu/csu,WP19,10.784,1.171,12.633,Hoher Verlust,3.670,3.396,3.945
25.485,1.187,cdu/csu,WP19,10.956,1.171,12.834,Hoher Verlust,3.680,3.403,3.958
25.657,1.187,cdu/csu,WP19,11.128,1.171,13.035,Hoher Verlust,3.690,3.409,3.971
25.828,1.187,cdu/csu,WP19,11.299,1.171,13.236,Hoher Verlust,3.700,3.416,3.984
26.000,1.187,cdu/csu,WP19,11.471,1.171,13.437,Hoher Verlust,3.710,3.423,3.998
