afd_proximity_ordinal,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
0.000,0.001,0.025,0.036,0.973,-0.067,0.069,False
1.000,0.033,0.019,1.733,0.158,-0.020,0.085,False
2.000,0.064,0.014,4.557,0.010,0.025,0.103,True
3.000,0.096,0.012,8.059,0.001,0.063,0.129,True
4.000,0.128,0.013,9.467,0.001,0.090,0.165,True
