afd_proximity_ordinal,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
0.000,0.047,0.024,1.937,0.125,-0.020,0.114,False
1.000,0.016,0.019,0.864,0.436,-0.036,0.068,False
2.000,-0.015,0.014,-1.033,0.360,-0.054,0.025,False
3.000,-0.045,0.013,-3.622,0.022,-0.080,-0.011,True
4.000,-0.076,0.014,-5.270,0.006,-0.116,-0.036,True
