afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_populism,ci_95_low,ci_95_high
22.909,1.188,cdu/csu,WP19,8.373,1.175,9.835,Hoher Verlust,0.296,0.249,0.343
23.081,1.188,cdu/csu,WP19,8.545,1.175,10.036,Hoher Verlust,0.297,0.250,0.345
23.253,1.188,cdu/csu,WP19,8.716,1.175,10.238,Hoher Verlust,0.299,0.251,0.347
23.424,1.188,cdu/csu,WP19,8.888,1.175,10.440,Hoher Verlust,0.301,0.252,0.350
23.596,1.188,cdu/csu,WP19,9.060,1.175,10.641,Hoher Verlust,0.302,0.253,0.352
23.768,1.188,cdu/csu,WP19,9.232,1.175,10.843,Hoher Verlust,0.304,0.254,0.354
23.939,1.188,cdu/csu,WP19,9.403,1.175,11.045,Hoher Verlust,0.306,0.255,0.356
24.111,1.188,cdu/csu,WP19,9.575,1.175,11.246,Hoher Verlust,0.307,0.256,0.359
24.283,1.188,cdu/csu,WP19,9.747,1.175,11.448,Hoher Verlust,0.309,0.257,0.361
24.455,1.188,cdu/csu,WP19,9.918,1.175,11.650,Hoher Verlust,0.311,0.258,0.363
24.626,1.188,cdu/csu,WP19,10.090,1.175,11.851,Hoher Verlust,0.312,0.259,0.366
24.798,1.188,cdu/csu,WP19,10.262,1.175,12.053,Hoher Verlust,0.314,0.260,0.368
24.970,1.188,cdu/csu,WP19,10.434,1.175,12.255,Hoher Verlust,0.316,0.261,0.370
25.141,1.188,cdu/csu,WP19,10.605,1.175,12.457,Hoher Verlust,0.317,0.262,0.372
25.313,1.188,cdu/csu,WP19,10.777,1.175,12.658,Hoher Verlust,0.319,0.263,0.375
25.485,1.188,cdu/csu,WP19,10.949,1.175,12.860,Hoher Verlust,0.321,0.264,0.377
25.657,1.188,cdu/csu,WP19,11.120,1.175,13.062,Hoher Verlust,0.322,0.265,0.379
25.828,1.188,cdu/csu,WP19,11.292,1.175,13.263,Hoher Verlust,0.324,0.266,0.382
26.000,1.188,cdu/csu,WP19,11.464,1.175,13.465,Hoher Verlust,0.326,0.267,0.384
