afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_distance,ci_95_low,ci_95_high
9.000,-1.161,cdu/csu,WP19,-5.536,-1.175,6.503,Niedriger Verlust / eher Gewinn,0.691,0.648,0.734
9.172,-1.161,cdu/csu,WP19,-5.364,-1.175,6.301,Niedriger Verlust / eher Gewinn,0.692,0.649,0.734
9.343,-1.161,cdu/csu,WP19,-5.193,-1.175,6.099,Niedriger Verlust / eher Gewinn,0.693,0.651,0.735
9.515,-1.161,cdu/csu,WP19,-5.021,-1.175,5.897,Niedriger Verlust / eher Gewinn,0.694,0.652,0.735
9.687,-1.161,cdu/csu,WP19,-4.849,-1.175,5.696,Niedriger Verlust / eher Gewinn,0.695,0.654,0.735
9.859,-1.161,cdu/csu,WP19,-4.678,-1.175,5.494,Niedriger Verlust / eher Gewinn,0.695,0.655,0.736
10.030,-1.161,cdu/csu,WP19,-4.506,-1.175,5.292,Niedriger Verlust / eher Gewinn,0.696,0.656,0.736
10.202,-1.161,cdu/csu,WP19,-4.334,-1.175,5.091,Niedriger Verlust / eher Gewinn,0.697,0.658,0.737
10.374,-1.161,cdu/csu,WP19,-4.162,-1.175,4.889,Niedriger Verlust / eher Gewinn,0.698,0.659,0.737
10.545,-1.161,cdu/csu,WP19,-3.991,-1.175,4.687,Niedriger Verlust / eher Gewinn,0.699,0.660,0.737
10.717,-1.161,cdu/csu,WP19,-3.819,-1.175,4.486,Niedriger Verlust / eher Gewinn,0.700,0.662,0.738
10.889,-1.161,cdu/csu,WP19,-3.647,-1.175,4.284,Niedriger Verlust / eher Gewinn,0.701,0.663,0.738
11.061,-1.161,cdu/csu,WP19,-3.476,-1.175,4.082,Niedriger Verlust / eher Gewinn,0.701,0.664,0.739
11.232,-1.161,cdu/csu,WP19,-3.304,-1.175,3.881,Niedriger Verlust / eher Gewinn,0.702,0.665,0.739
11.404,-1.161,cdu/csu,WP19,-3.132,-1.175,3.679,Niedriger Verlust / eher Gewinn,0.703,0.667,0.740
11.576,-1.161,cdu/csu,WP19,-2.960,-1.175,3.477,Niedriger Verlust / eher Gewinn,0.704,0.668,0.740
11.747,-1.161,cdu/csu,WP19,-2.789,-1.175,3.275,Niedriger Verlust / eher Gewinn,0.705,0.669,0.741
11.919,-1.161,cdu/csu,WP19,-2.617,-1.175,3.074,Niedriger Verlust / eher Gewinn,0.706,0.670,0.742
12.091,-1.161,cdu/csu,WP19,-2.445,-1.175,2.872,Niedriger Verlust / eher Gewinn,0.707,0.671,0.742
12.263,-1.161,cdu/csu,WP19,-2.274,-1.175,2.670,Niedriger Verlust / eher Gewinn,0.708,0.672,0.743
12.434,-1.161,cdu/csu,WP19,-2.102,-1.175,2.469,Niedriger Verlust / eher Gewinn,0.708,0.673,0.744
12.606,-1.161,cdu/csu,WP19,-1.930,-1.175,2.267,Niedriger Verlust / eher Gewinn,0.709,0.674,0.745
12.778,-1.161,cdu/csu,WP19,-1.758,-1.175,2.065,Niedriger Verlust / eher Gewinn,0.710,0.675,0.745
12.949,-1.161,cdu/csu,WP19,-1.587,-1.175,1.864,Niedriger Verlust / eher Gewinn,0.711,0.676,0.746
13.121,-1.161,cdu/csu,WP19,-1.415,-1.175,1.662,Niedriger Verlust / eher Gewinn,0.712,0.677,0.747
13.293,-1.161,cdu/csu,WP19,-1.243,-1.175,1.460,Niedriger Verlust / eher Gewinn,0.713,0.678,0.748
13.465,-1.161,cdu/csu,WP19,-1.072,-1.175,1.259,Niedriger Verlust / eher Gewinn,0.714,0.678,0.749
13.636,-1.161,cdu/csu,WP19,-0.900,-1.175,1.057,Niedriger Verlust / eher Gewinn,0.714,0.679,0.750
13.808,-1.161,cdu/csu,WP19,-0.728,-1.175,0.855,Niedriger Verlust / eher Gewinn,0.715,0.680,0.751
13.980,-1.161,cdu/csu,WP19,-0.556,-1.175,0.653,Niedriger Verlust / eher Gewinn,0.716,0.681,0.752
14.152,-1.161,cdu/csu,WP19,-0.385,-1.175,0.452,Niedriger Verlust / eher Gewinn,0.717,0.681,0.753
14.323,-1.161,cdu/csu,WP19,-0.213,-1.175,0.250,Niedriger Verlust / eher Gewinn,0.718,0.682,0.754
14.495,-1.161,cdu/csu,WP19,-0.041,-1.175,0.048,Niedriger Verlust / eher Gewinn,0.719,0.683,0.755
14.667,-1.161,cdu/csu,WP19,0.131,-1.175,-0.153,Niedriger Verlust / eher Gewinn,0.720,0.683,0.756
14.838,-1.161,cdu/csu,WP19,0.302,-1.175,-0.355,Niedriger Verlust / eher Gewinn,0.721,0.684,0.757
15.010,-1.161,cdu/csu,WP19,0.474,-1.175,-0.557,Niedriger Verlust / eher Gewinn,0.721,0.685,0.758
15.182,-1.161,cdu/csu,WP19,0.646,-1.175,-0.758,Niedriger Verlust / eher Gewinn,0.722,0.685,0.759
15.354,-1.161,cdu/csu,WP19,0.817,-1.175,-0.960,Niedriger Verlust / eher Gewinn,0.723,0.686,0.761
15.525,-1.161,cdu/csu,WP19,0.989,-1.175,-1.162,Niedriger Verlust / eher Gewinn,0.724,0.686,0.762
15.697,-1.161,cdu/csu,WP19,1.161,-1.175,-1.363,Niedriger Verlust / eher Gewinn,0.725,0.687,0.763
15.869,-1.161,cdu/csu,WP19,1.333,-1.175,-1.565,Niedriger Verlust / eher Gewinn,0.726,0.687,0.764
16.040,-1.161,cdu/csu,WP19,1.504,-1.175,-1.767,Niedriger Verlust / eher Gewinn,0.727,0.687,0.766
16.212,-1.161,cdu/csu,WP19,1.676,-1.175,-1.969,Niedriger Verlust / eher Gewinn,0.727,0.688,0.767
16.384,-1.161,cdu/csu,WP19,1.848,-1.175,-2.170,Niedriger Verlust / eher Gewinn,0.728,0.688,0.769
16.556,-1.161,cdu/csu,WP19,2.019,-1.175,-2.372,Niedriger Verlust / eher Gewinn,0.729,0.689,0.770
16.727,-1.161,cdu/csu,WP19,2.191,-1.175,-2.574,Niedriger Verlust / eher Gewinn,0.730,0.689,0.771
16.899,-1.161,cdu/csu,WP19,2.363,-1.175,-2.775,Niedriger Verlust / eher Gewinn,0.731,0.689,0.773
17.071,-1.161,cdu/csu,WP19,2.535,-1.175,-2.977,Niedriger Verlust / eher Gewinn,0.732,0.689,0.774
17.242,-1.161,cdu/csu,WP19,2.706,-1.175,-3.179,Niedriger Verlust / eher Gewinn,0.733,0.690,0.776
17.414,-1.161,cdu/csu,WP19,2.878,-1.175,-3.380,Niedriger Verlust / eher Gewinn,0.734,0.690,0.777
17.586,-1.161,cdu/csu,WP19,3.050,-1.175,-3.582,Niedriger Verlust / eher Gewinn,0.734,0.690,0.779
17.758,-1.161,cdu/csu,WP19,3.221,-1.175,-3.784,Niedriger Verlust / eher Gewinn,0.735,0.691,0.780
17.929,-1.161,cdu/csu,WP19,3.393,-1.175,-3.985,Niedriger Verlust / eher Gewinn,0.736,0.691,0.782
18.101,-1.161,cdu/csu,WP19,3.565,-1.175,-4.187,Niedriger Verlust / eher Gewinn,0.737,0.691,0.783
18.273,-1.161,cdu/csu,WP19,3.737,-1.175,-4.389,Niedriger Verlust / eher Gewinn,0.738,0.691,0.785
18.444,-1.161,cdu/csu,WP19,3.908,-1.175,-4.591,Niedriger Verlust / eher Gewinn,0.739,0.691,0.786
18.616,-1.161,cdu/csu,WP19,4.080,-1.175,-4.792,Niedriger Verlust / eher Gewinn,0.740,0.691,0.788
18.788,-1.161,cdu/csu,WP19,4.252,-1.175,-4.994,Niedriger Verlust / eher Gewinn,0.740,0.692,0.789
18.960,-1.161,cdu/csu,WP19,4.423,-1.175,-5.196,Niedriger Verlust / eher Gewinn,0.741,0.692,0.791
19.131,-1.161,cdu/csu,WP19,4.595,-1.175,-5.397,Niedriger Verlust / eher Gewinn,0.742,0.692,0.793
19.303,-1.161,cdu/csu,WP19,4.767,-1.175,-5.599,Niedriger Verlust / eher Gewinn,0.743,0.692,0.794
19.475,-1.161,cdu/csu,WP19,4.939,-1.175,-5.801,Niedriger Verlust / eher Gewinn,0.744,0.692,0.796
19.646,-1.161,cdu/csu,WP19,5.110,-1.175,-6.002,Niedriger Verlust / eher Gewinn,0.745,0.692,0.797
19.818,-1.161,cdu/csu,WP19,5.282,-1.175,-6.204,Niedriger Verlust / eher Gewinn,0.746,0.692,0.799
19.990,-1.161,cdu/csu,WP19,5.454,-1.175,-6.406,Niedriger Verlust / eher Gewinn,0.747,0.692,0.801
20.162,-1.161,cdu/csu,WP19,5.625,-1.175,-6.607,Niedriger Verlust / eher Gewinn,0.747,0.692,0.802
20.333,-1.161,cdu/csu,WP19,5.797,-1.175,-6.809,Niedriger Verlust / eher Gewinn,0.748,0.693,0.804
20.505,-1.161,cdu/csu,WP19,5.969,-1.175,-7.011,Niedriger Verlust / eher Gewinn,0.749,0.693,0.806
20.677,-1.161,cdu/csu,WP19,6.141,-1.175,-7.213,Niedriger Verlust / eher Gewinn,0.750,0.693,0.807
20.848,-1.161,cdu/csu,WP19,6.312,-1.175,-7.414,Niedriger Verlust / eher Gewinn,0.751,0.693,0.809
21.020,-1.161,cdu/csu,WP19,6.484,-1.175,-7.616,Niedriger Verlust / eher Gewinn,0.752,0.693,0.811
21.192,-1.161,cdu/csu,WP19,6.656,-1.175,-7.818,Niedriger Verlust / eher Gewinn,0.753,0.693,0.812
21.364,-1.161,cdu/csu,WP19,6.827,-1.175,-8.019,Niedriger Verlust / eher Gewinn,0.753,0.693,0.814
21.535,-1.161,cdu/csu,WP19,6.999,-1.175,-8.221,Niedriger Verlust / eher Gewinn,0.754,0.693,0.816
21.707,-1.161,cdu/csu,WP19,7.171,-1.175,-8.423,Niedriger Verlust / eher Gewinn,0.755,0.693,0.818
21.879,-1.161,cdu/csu,WP19,7.343,-1.175,-8.624,Niedriger Verlust / eher Gewinn,0.756,0.693,0.819
22.051,-1.161,cdu/csu,WP19,7.514,-1.175,-8.826,Niedriger Verlust / eher Gewinn,0.757,0.693,0.821
22.222,-1.161,cdu/csu,WP19,7.686,-1.175,-9.028,Niedriger Verlust / eher Gewinn,0.758,0.693,0.823
22.394,-1.161,cdu/csu,WP19,7.858,-1.175,-9.229,Niedriger Verlust / eher Gewinn,0.759,0.693,0.824
22.566,-1.161,cdu/csu,WP19,8.030,-1.175,-9.431,Niedriger Verlust / eher Gewinn,0.760,0.693,0.826
22.737,-1.161,cdu/csu,WP19,8.201,-1.175,-9.633,Niedriger Verlust / eher Gewinn,0.760,0.693,0.828
22.909,-1.161,cdu/csu,WP19,8.373,-1.175,-9.835,Niedriger Verlust / eher Gewinn,0.761,0.693,0.830
23.081,-1.161,cdu/csu,WP19,8.545,-1.175,-10.036,Niedriger Verlust / eher Gewinn,0.762,0.693,0.831
23.253,-1.161,cdu/csu,WP19,8.716,-1.175,-10.238,Niedriger Verlust / eher Gewinn,0.763,0.693,0.833
23.424,-1.161,cdu/csu,WP19,8.888,-1.175,-10.440,Niedriger Verlust / eher Gewinn,0.764,0.693,0.835
23.596,-1.161,cdu/csu,WP19,9.060,-1.175,-10.641,Niedriger Verlust / eher Gewinn,0.765,0.693,0.837
23.768,-1.161,cdu/csu,WP19,9.232,-1.175,-10.843,Niedriger Verlust / eher Gewinn,0.766,0.693,0.839
23.939,-1.161,cdu/csu,WP19,9.403,-1.175,-11.045,Niedriger Verlust / eher Gewinn,0.766,0.693,0.840
24.111,-1.161,cdu/csu,WP19,9.575,-1.175,-11.246,Niedriger Verlust / eher Gewinn,0.767,0.693,0.842
