status,is_opposition,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high
Regierung,0,-0.016157363480534426,0.030349732565982057,-0.5323725158173105,0.6226662208209824,-0.10042172990741738,0.06810700294634853
Opposition,1,-0.014665697585225596,0.0287742671725756,-0.5096810110668358,0.6371081551168811,-0.09455587083217666,0.06522447566172547
