status,is_opposition,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
Regierung,0,-0.016,0.030,-0.532,0.623,-0.100,0.068,False
Opposition,1,-0.015,0.029,-0.510,0.637,-0.095,0.065,False
