status,is_opposition,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
Regierung,0,0.068,0.030,2.309,0.082,-0.014,0.151,False
Opposition,1,0.061,0.029,2.064,0.108,-0.021,0.143,False
