populism_distance_to_afd,afd_support_t,wahlperiode_cat,poll_date
1.4444444444444446,12,WP19,2017-10-20
0.4879310344827586,11,WP19,2017-11-20
0.6881228391295506,13,WP19,2017-12-07
0.8883889513810772,13,WP19,2018-01-04
1.2878787878787878,12,WP19,2018-01-26
0.8692889970262232,14,WP19,2018-02-01
0.734984984984985,15,WP19,2018-02-15
0.6650273224043717,14,WP19,2018-02-23
0.6474120082815735,15,WP19,2018-03-01
0.8833071690214547,13,WP19,2018-03-23
0.6773288439955106,14,WP19,2018-04-05
0.6468704512372634,15,WP19,2018-04-20
0.7818775100401606,15,WP19,2018-05-09
0.8102981029810298,14,WP19,2018-05-18
0.922565864833906,15,WP19,2018-06-14
0.6905959031657356,14,WP19,2018-06-28
0.9565076273937034,16,WP19,2018-07-05
0.9493287956135376,16,WP19,2018-09-06
0.666794797873022,18,WP19,2018-09-21
0.5671428571428572,16,WP19,2018-10-11
0.5153273809523808,16,WP19,2018-10-19
0.6487599156541821,14,WP19,2018-11-15
0.796969696969697,15,WP19,2018-11-30
0.7273333333333333,14,WP19,2018-12-06
0.7635220125786163,13,WP19,2018-12-14
0.536402329749104,14,WP19,2019-01-10
0.5098039215686274,15,WP19,2019-01-25
0.5602636534839924,13,WP19,2019-02-14
0.7141143106457243,12,WP19,2019-02-22
0.553921568627451,13,WP19,2019-03-15
0.808080808080808,12,WP19,2019-03-22
0.5457223248043612,12,WP19,2019-04-04
0.6523203044942175,12,WP19,2019-05-02
0.9250645994832042,13,WP19,2019-05-17
0.7096499238964993,13,WP19,2019-06-06
0.4555555555555555,12,WP19,2019-06-28
0.8888888888888888,13,WP19,2019-07-04
0.7765207411050994,15,WP19,2019-09-05
0.6085568326947638,14,WP19,2019-09-20
0.7285714285714286,14,WP19,2019-10-11
0.6553699475223331,14,WP19,2019-10-18
0.6214109268230086,14,WP19,2019-11-07
0.7546032949900983,14,WP19,2019-11-15
0.44,15,WP19,2019-12-05
0.715370018975332,15,WP19,2019-12-13
0.6700880832787364,14,WP19,2020-01-09
0.4093494489868468,14,WP19,2020-01-24
0.3654761904761905,14,WP19,2020-02-06
0.6745836745836746,14,WP19,2020-02-13
0.5491768422331571,12,WP19,2020-03-05
0.2603850050658561,10,WP19,2020-03-20
0.6793336404114847,9,WP19,2020-04-17
0.6794346978557504,9,WP19,2020-05-07
0.5798086606243706,10,WP19,2020-05-15
0.6820183061058973,9,WP19,2020-06-04
0.8015151515151515,10,WP19,2020-06-26
0.5213766397976924,10,WP19,2020-07-02
0.7240620902592734,10,WP19,2020-09-03
0.7839234839234839,10,WP19,2020-09-18
0.6862745098039216,10,WP19,2020-10-01
0.6886952311788914,11,WP19,2020-10-16
0.5986992122719734,10,WP19,2020-11-12
1.085858585858586,11,WP19,2020-11-27
0.8535353535353536,10,WP19,2020-12-03
0.7607653086980665,9,WP19,2020-12-11
0.4740191674153938,10,WP19,2021-01-07
0.5848600508905852,10,WP19,2021-01-22
0.5565656565656565,10,WP19,2021-02-04
0.5721262864120007,11,WP19,2021-02-19
0.7621933621933621,11,WP19,2021-03-04
0.6537892044689729,11,WP19,2021-03-19
0.6872353297035693,11,WP19,2021-04-01
0.5595559244656567,11,WP19,2021-04-16
0.5779167597349415,12,WP19,2021-05-06
0.6667813008689273,11,WP19,2021-05-14
0.5313233056785904,12,WP19,2021-06-10
0.4588744588744589,12,WP19,2021-06-25
0.76,11,WP19,2021-08-20
