mean_populism_score,afd_support_t,wahlperiode_cat,poll_date
0.2843822843822843,18,WP20,2024-05-02
0.3386454183266932,18,WP20,2024-05-30
0.2378787878787878,17,WP20,2024-07-04
0.3250961010433827,17,WP20,2024-09-05
0.2978260869565217,17,WP20,2024-10-10
0.3039215686274509,17,WP20,2024-10-31
0.3587786259541984,18,WP20,2024-11-07
0.3809523809523809,19,WP20,2024-11-21
0.323037323037323,18,WP20,2024-12-05
0.4462962962962962,19,WP20,2024-12-19
0.8076923076923077,20,WP20,2025-01-09
0.5320813771517997,20,WP20,2025-01-30
0.7777777777777777,21,WP20,2025-02-06
0.3192982456140351,21,WP20,2025-03-06
0.3333333333333333,24,WP21,2025-04-03
0.3252032520325203,23,WP21,2025-05-07
0.3116666666666666,23,WP21,2025-06-04
0.2929642445213379,23,WP21,2025-07-03
0.3065774804905239,25,WP21,2025-09-03
0.3911646586345381,26,WP21,2025-10-02
0.3263263263263263,26,WP21,2025-11-06
0.3415300546448087,25,WP21,2025-12-04
0.3782505910165484,25,WP21,2026-01-08
