afd_support_t,afd_proximity_ordinal,party_clean,wahlperiode_cat,afd_support_c,proximity_c,afd_x_proximity,predicted_populism,ci_95_low,ci_95_high
13.808,4.000,cdu/csu,WP19,-0.755,2.007,-1.515,0.212,0.189,0.235
13.980,4.000,cdu/csu,WP19,-0.583,2.007,-1.170,0.214,0.191,0.237
14.152,4.000,cdu/csu,WP19,-0.411,2.007,-0.826,0.217,0.194,0.240
14.323,4.000,cdu/csu,WP19,-0.240,2.007,-0.481,0.219,0.196,0.242
14.495,4.000,cdu/csu,WP19,-0.068,2.007,-0.136,0.221,0.198,0.245
14.667,4.000,cdu/csu,WP19,0.104,2.007,0.208,0.224,0.201,0.247
14.838,4.000,cdu/csu,WP19,0.275,2.007,0.553,0.226,0.203,0.250
15.010,4.000,cdu/csu,WP19,0.447,2.007,0.897,0.229,0.205,0.253
15.182,4.000,cdu/csu,WP19,0.619,2.007,1.242,0.231,0.207,0.255
15.354,4.000,cdu/csu,WP19,0.791,2.007,1.587,0.234,0.209,0.258
15.525,4.000,cdu/csu,WP19,0.962,2.007,1.931,0.236,0.212,0.260
15.697,4.000,cdu/csu,WP19,1.134,2.007,2.276,0.239,0.214,0.263
15.869,4.000,cdu/csu,WP19,1.306,2.007,2.620,0.241,0.216,0.266
16.040,4.000,cdu/csu,WP19,1.477,2.007,2.965,0.243,0.218,0.269
16.212,4.000,cdu/csu,WP19,1.649,2.007,3.310,0.246,0.220,0.271
16.384,4.000,cdu/csu,WP19,1.821,2.007,3.654,0.248,0.222,0.274
16.556,4.000,cdu/csu,WP19,1.993,2.007,3.999,0.251,0.224,0.277
16.727,4.000,cdu/csu,WP19,2.164,2.007,4.343,0.253,0.226,0.280
16.899,4.000,cdu/csu,WP19,2.336,2.007,4.688,0.256,0.228,0.283
17.071,4.000,cdu/csu,WP19,2.508,2.007,5.033,0.258,0.230,0.286
17.242,4.000,cdu/csu,WP19,2.680,2.007,5.377,0.260,0.232,0.288
17.414,4.000,cdu/csu,WP19,2.851,2.007,5.722,0.263,0.234,0.291
17.586,4.000,cdu/csu,WP19,3.023,2.007,6.066,0.265,0.236,0.294
17.758,4.000,cdu/csu,WP19,3.195,2.007,6.411,0.268,0.238,0.297
17.929,4.000,cdu/csu,WP19,3.366,2.007,6.756,0.270,0.240,0.300
18.101,4.000,cdu/csu,WP19,3.538,2.007,7.100,0.273,0.242,0.303
18.273,4.000,cdu/csu,WP19,3.710,2.007,7.445,0.275,0.244,0.306
18.444,4.000,cdu/csu,WP19,3.882,2.007,7.789,0.277,0.246,0.309
18.616,4.000,cdu/csu,WP19,4.053,2.007,8.134,0.280,0.248,0.312
18.788,4.000,cdu/csu,WP19,4.225,2.007,8.478,0.282,0.250,0.315
18.960,4.000,cdu/csu,WP19,4.397,2.007,8.823,0.285,0.251,0.318
19.131,4.000,cdu/csu,WP19,4.568,2.007,9.168,0.287,0.253,0.321
19.303,4.000,cdu/csu,WP19,4.740,2.007,9.512,0.290,0.255,0.324
19.475,4.000,cdu/csu,WP19,4.912,2.007,9.857,0.292,0.257,0.327
19.646,4.000,cdu/csu,WP19,5.084,2.007,10.201,0.294,0.259,0.330
19.818,4.000,cdu/csu,WP19,5.255,2.007,10.546,0.297,0.261,0.333
19.990,4.000,cdu/csu,WP19,5.427,2.007,10.891,0.299,0.262,0.336
20.162,4.000,cdu/csu,WP19,5.599,2.007,11.235,0.302,0.264,0.339
20.333,4.000,cdu/csu,WP19,5.770,2.007,11.580,0.304,0.266,0.342
20.505,4.000,cdu/csu,WP19,5.942,2.007,11.924,0.307,0.268,0.345
20.677,4.000,cdu/csu,WP19,6.114,2.007,12.269,0.309,0.270,0.348
20.848,4.000,cdu/csu,WP19,6.286,2.007,12.614,0.311,0.271,0.351
21.020,4.000,cdu/csu,WP19,6.457,2.007,12.958,0.314,0.273,0.354
21.192,4.000,cdu/csu,WP19,6.629,2.007,13.303,0.316,0.275,0.358
21.364,4.000,cdu/csu,WP19,6.801,2.007,13.647,0.319,0.277,0.361
21.535,4.000,cdu/csu,WP19,6.972,2.007,13.992,0.321,0.279,0.364
21.707,4.000,cdu/csu,WP19,7.144,2.007,14.337,0.324,0.280,0.367
21.879,4.000,cdu/csu,WP19,7.316,2.007,14.681,0.326,0.282,0.370
22.051,4.000,cdu/csu,WP19,7.488,2.007,15.026,0.328,0.284,0.373
22.222,4.000,cdu/csu,WP19,7.659,2.007,15.370,0.331,0.286,0.376
22.394,4.000,cdu/csu,WP19,7.831,2.007,15.715,0.333,0.287,0.379
22.566,4.000,cdu/csu,WP19,8.003,2.007,16.060,0.336,0.289,0.382
22.737,4.000,cdu/csu,WP19,8.174,2.007,16.404,0.338,0.291,0.385
22.909,4.000,cdu/csu,WP19,8.346,2.007,16.749,0.341,0.293,0.389
23.081,4.000,cdu/csu,WP19,8.518,2.007,17.093,0.343,0.294,0.392
23.253,4.000,cdu/csu,WP19,8.690,2.007,17.438,0.345,0.296,0.395
23.424,4.000,cdu/csu,WP19,8.861,2.007,17.783,0.348,0.298,0.398
23.596,4.000,cdu/csu,WP19,9.033,2.007,18.127,0.350,0.299,0.401
23.768,4.000,cdu/csu,WP19,9.205,2.007,18.472,0.353,0.301,0.404
23.939,4.000,cdu/csu,WP19,9.376,2.007,18.816,0.355,0.303,0.407
24.111,4.000,cdu/csu,WP19,9.548,2.007,19.161,0.358,0.305,0.410
24.283,4.000,cdu/csu,WP19,9.720,2.007,19.506,0.360,0.306,0.414
24.455,4.000,cdu/csu,WP19,9.892,2.007,19.850,0.362,0.308,0.417
24.626,4.000,cdu/csu,WP19,10.063,2.007,20.195,0.365,0.310,0.420
24.798,4.000,cdu/csu,WP19,10.235,2.007,20.539,0.367,0.312,0.423
24.970,4.000,cdu/csu,WP19,10.407,2.007,20.884,0.370,0.313,0.426
25.141,4.000,cdu/csu,WP19,10.578,2.007,21.229,0.372,0.315,0.429
25.313,4.000,cdu/csu,WP19,10.750,2.007,21.573,0.375,0.317,0.433
25.485,4.000,cdu/csu,WP19,10.922,2.007,21.918,0.377,0.318,0.436
25.657,4.000,cdu/csu,WP19,11.094,2.007,22.262,0.379,0.320,0.439
25.828,4.000,cdu/csu,WP19,11.265,2.007,22.607,0.382,0.322,0.442
26.000,4.000,cdu/csu,WP19,11.437,2.007,22.952,0.384,0.323,0.445
