afd_support_t,afd_proximity_ordinal,party_clean,wahlperiode_cat,afd_support_c,proximity_c,afd_x_proximity,predicted_distance,ci_95_low,ci_95_high
9.000,0.000,cdu/csu,WP19,-5.563,-1.993,11.088,0.678,0.633,0.722
9.172,0.000,cdu/csu,WP19,-5.391,-1.993,10.746,0.679,0.635,0.723
9.343,0.000,cdu/csu,WP19,-5.219,-1.993,10.404,0.680,0.638,0.723
9.515,0.000,cdu/csu,WP19,-5.048,-1.993,10.061,0.682,0.640,0.724
9.687,0.000,cdu/csu,WP19,-4.876,-1.993,9.719,0.683,0.642,0.724
9.859,0.000,cdu/csu,WP19,-4.704,-1.993,9.377,0.684,0.644,0.725
10.030,0.000,cdu/csu,WP19,-4.533,-1.993,9.035,0.686,0.646,0.726
10.202,0.000,cdu/csu,WP19,-4.361,-1.993,8.692,0.687,0.648,0.727
10.374,0.000,cdu/csu,WP19,-4.189,-1.993,8.350,0.689,0.650,0.727
10.545,0.000,cdu/csu,WP19,-4.017,-1.993,8.008,0.690,0.652,0.728
10.717,0.000,cdu/csu,WP19,-3.846,-1.993,7.665,0.691,0.654,0.729
10.889,0.000,cdu/csu,WP19,-3.674,-1.993,7.323,0.693,0.656,0.730
11.061,0.000,cdu/csu,WP19,-3.502,-1.993,6.981,0.694,0.658,0.731
11.232,0.000,cdu/csu,WP19,-3.331,-1.993,6.639,0.695,0.659,0.731
11.404,0.000,cdu/csu,WP19,-3.159,-1.993,6.296,0.697,0.661,0.732
11.576,0.000,cdu/csu,WP19,-2.987,-1.993,5.954,0.698,0.663,0.733
11.747,0.000,cdu/csu,WP19,-2.815,-1.993,5.612,0.699,0.665,0.734
11.919,0.000,cdu/csu,WP19,-2.644,-1.993,5.270,0.701,0.667,0.735
12.091,0.000,cdu/csu,WP19,-2.472,-1.993,4.927,0.702,0.668,0.736
12.263,0.000,cdu/csu,WP19,-2.300,-1.993,4.585,0.704,0.670,0.737
12.434,0.000,cdu/csu,WP19,-2.129,-1.993,4.243,0.705,0.672,0.738
12.606,0.000,cdu/csu,WP19,-1.957,-1.993,3.900,0.706,0.673,0.739
12.778,0.000,cdu/csu,WP19,-1.785,-1.993,3.558,0.708,0.675,0.741
12.949,0.000,cdu/csu,WP19,-1.613,-1.993,3.216,0.709,0.676,0.742
13.121,0.000,cdu/csu,WP19,-1.442,-1.993,2.874,0.710,0.678,0.743
