poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd
10,2018-02-15,2018-02-23,15,0.3483483483483483,1.045045045045045,2.163573883161512,0.23423423423423423,0.5585585585585585,0.25225225225225223,1.90625,3.6333333333333333,3.0606060606060606,2.2127659574468086,1.8363636363636364,32,30,33,47,55,111,97,712.3873873873874,0.2882882882882883,0.2702702702702703,0.2972972972972973,0.42342342342342343,0.4954954954954955,mainstream_all,19,2018,2,8,WP19,1.0833333333333333,3.25,8.089285714285714,1.1875,1.4375,0.625,8.25,8.166666666666666,8.166666666666666,7.625,8.5,16,14,4,6,6,8,10,0.25,0.375,0.375,0.5,0.625,0.734984984984985,2.204954954954955,5.925711831124202,0.9532657657657657,0.8789414414414415,0.37274774774774777,6.34375,4.533333333333333,5.1060606060606055,5.412234042553191,6.663636363636364
11,2018-02-23,2018-03-01,14,0.2349726775956284,0.7049180327868853,1.9404761904761905,0.11475409836065574,0.4098360655737705,0.18032786885245902,2.0,2.7777777777777777,1.5,1.0909090909090908,1.85,1,9,10,11,40,61,49,669.360655737705,0.01639344262295082,0.14754098360655737,0.16393442622950818,0.18032786885245902,0.6557377049180327,mainstream_all,19,2018,2,6,WP19,0.9,2.7,6.979166666666666,1.0,1.2,0.5,9.0,8.6,8.0,6.333333333333333,7.125,10,8,2,5,2,3,8,0.2,0.5,0.2,0.3,0.8,0.6650273224043717,1.9950819672131148,5.038690476190475,0.8852459016393442,0.7901639344262295,0.319672131147541,7.0,5.822222222222222,6.5,5.242424242424242,5.275
12,2018-03-01,2018-03-23,15,0.22698412698412698,0.680952380952381,1.9888297872340426,0.2,0.4,0.08095238095238096,2.452830188679245,3.528735632183908,1.4313725490196079,2.0086206896551726,1.7326732673267327,53,87,51,116,202,420,282,670.7523809523809,0.1261904761904762,0.20714285714285716,0.12142857142857143,0.2761904761904762,0.48095238095238096,mainstream_all,19,2018,3,22,WP19,0.8743961352657005,2.6231884057971016,7.031286549707603,0.8115942028985508,1.2608695652173914,0.5507246376811594,7.9,8.433333333333334,8.0,7.208333333333333,7.113207547169812,69,57,10,30,17,24,53,0.14492753623188406,0.43478260869565216,0.2463768115942029,0.34782608695652173,0.7681159420289855,0.6474120082815735,1.9422360248447206,5.04245676247356,0.6115942028985508,0.8608695652173913,0.4697722567287785,5.447169811320755,4.9045977011494255,6.568627450980392,5.19971264367816,5.380534279843079
13,2018-03-23,2018-04-05,13,0.24489795918367346,0.7346938775510204,2.8587962962962963,0.2653061224489796,0.3673469387755102,0.10204081632653061,2.3333333333333335,4.363636363636363,2.4285714285714284,3.263157894736842,2.9166666666666665,15,11,7,19,12,49,36,756.0,0.30612244897959184,0.22448979591836735,0.14285714285714285,0.3877551020408163,0.24489795918367346,mainstream_all,19,2018,3,13,WP19,1.1282051282051282,3.3846153846153846,8.425,1.1538461538461537,1.5384615384615385,0.6923076923076923,9.0,8.857142857142858,8.5,8.0,8.333333333333334,13,10,4,7,4,5,9,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.38461538461538464,0.6923076923076923,0.8833071690214547,2.6499215070643642,5.566203703703705,0.8885400313971741,1.1711145996860284,0.5902668759811617,6.666666666666666,4.493506493506494,6.071428571428571,4.7368421052631575,5.416666666666668
14,2018-04-05,2018-04-20,14,0.24691358024691354,0.7407407407407407,2.0869281045751635,0.17037037037037037,0.45925925925925926,0.1111111111111111,3.0869565217391304,2.8666666666666667,0.6363636363636364,1.6666666666666667,1.457142857142857,23,30,11,48,70,135,102,663.0962962962963,0.17037037037037037,0.2222222222222222,0.08148148148148149,0.35555555555555557,0.5185185185185185,mainstream_all,19,2018,4,15,WP19,0.9242424242424242,2.772727272727273,6.735087719298246,0.8636363636363636,1.2272727272727273,0.6818181818181818,9.0,8.8,7.6,5.6,7.294117647058823,22,19,3,10,5,10,17,0.13636363636363635,0.45454545454545453,0.22727272727272727,0.45454545454545453,0.7727272727272727,0.6773288439955106,2.031986531986532,4.648159614723083,0.6932659932659933,0.768013468013468,0.5707070707070707,5.913043478260869,5.933333333333334,6.963636363636363,3.9333333333333327,5.836974789915966
15,2018-04-20,2018-05-09,15,0.21979621542940317,0.6593886462882096,1.6091397849462366,0.1572052401746725,0.37117903930131,0.13100436681222707,1.4285714285714286,3.046511627906977,0.6296296296296297,1.4852941176470589,1.2522522522522523,28,43,27,68,111,229,155,672.7554585152839,0.1222707423580786,0.18777292576419213,0.11790393013100436,0.29694323144104806,0.4847161572052402,mainstream_all,19,2018,4,19,WP19,0.8666666666666666,2.6,6.994623655913979,0.8,1.225,0.575,6.75,7.222222222222222,6.2,6.6875,7.56,40,31,4,18,10,16,25,0.1,0.45,0.25,0.4,0.625,0.6468704512372634,1.9406113537117906,5.385483870967742,0.6427947598253275,0.8538209606986901,0.4439956331877729,5.321428571428571,4.1757105943152455,5.57037037037037,5.202205882352941,6.307747747747747
16,2018-05-09,2018-05-18,15,0.23895582329317266,0.7168674698795181,1.9311868686868685,0.18072289156626506,0.4819277108433735,0.05421686746987952,1.6666666666666667,3.142857142857143,0.8333333333333334,2.369565217391304,1.6329113924050633,57,28,24,46,79,166,132,830.777108433735,0.3433734939759036,0.1686746987951807,0.14457831325301204,0.27710843373493976,0.4759036144578313,mainstream_all,19,2018,5,9,WP19,1.0208333333333333,3.0625,7.291666666666666,1.03125,1.46875,0.5625,7.666666666666667,8.1875,7.625,7.090909090909091,7.1923076923076925,32,28,9,16,8,11,26,0.28125,0.5,0.25,0.34375,0.8125,0.7818775100401606,2.345632530120482,5.360479797979798,0.8505271084337349,0.9868222891566265,0.5082831325301205,6.0,5.044642857142858,6.791666666666667,4.721343873517787,5.559396299902629
17,2018-05-18,2018-06-14,14,0.2222222222222222,0.6666666666666666,1.7649325626204238,0.20155038759689922,0.43410852713178294,0.031007751937984496,1.8444444444444446,2.6739130434782608,0.2,1.8305084745762712,1.368421052631579,45,46,10,59,114,258,173,713.5813953488372,0.1744186046511628,0.17829457364341086,0.03875968992248062,0.22868217054263565,0.4418604651162791,mainstream_all,19,2018,5,27,WP19,1.032520325203252,3.097560975609756,7.458333333333334,1.0,1.5121951219512195,0.5853658536585366,7.666666666666667,8.055555555555555,8.0,6.615384615384615,7.903225806451613,41,34,6,18,6,13,31,0.14634146341463414,0.43902439024390244,0.14634146341463414,0.3170731707317073,0.7560975609756098,0.8102981029810298,2.4308943089430897,5.69340077071291,0.7984496124031008,1.0780865948194367,0.5543581017205521,5.822222222222223,5.381642512077295,7.8,4.784876140808343,6.534804753820034
18,2018-06-14,2018-06-28,15,0.2663230240549828,0.7989690721649485,2.1521252796420582,0.23195876288659795,0.4639175257731959,0.10309278350515463,1.8235294117647058,3.5483870967741935,0.8666666666666667,1.9863013698630136,1.841121495327103,17,62,15,73,107,194,149,660.6237113402062,0.08762886597938144,0.31958762886597936,0.07731958762886598,0.37628865979381443,0.5515463917525774,mainstream_all,19,2018,6,14,WP19,1.1888888888888889,3.566666666666667,7.373333333333334,1.1333333333333333,1.5666666666666667,0.8666666666666667,8.0,8.857142857142858,7.75,7.0,7.458333333333333,30,25,1,14,8,15,24,0.03333333333333333,0.4666666666666667,0.26666666666666666,0.5,0.8,0.9225658648339061,2.767697594501718,5.221208053691276,0.9013745704467353,1.1027491408934709,0.7635738831615121,6.176470588235294,5.308755760368664,6.883333333333333,5.013698630136986,5.61721183800623
19,2018-06-28,2018-07-05,14,0.19273743016759776,0.5782122905027933,1.8219787516600265,0.15921787709497207,0.3770949720670391,0.04189944134078212,1.9494949494949494,2.8688524590163933,1.1071428571428572,1.6024096385542168,1.314102564102564,99,61,28,83,156,358,251,730.8854748603352,0.276536312849162,0.17039106145251395,0.0782122905027933,0.23184357541899442,0.43575418994413406,mainstream_all,19,2018,6,7,WP19,0.8833333333333333,2.65,7.056,0.8166666666666667,1.3333333333333333,0.5,7.277777777777778,8.24,7.75,6.2631578947368425,7.357142857142857,60,50,18,25,16,19,42,0.3,0.4166666666666667,0.26666666666666666,0.31666666666666665,0.7,0.6905959031657356,2.0717877094972064,5.234021248339974,0.6574487895716946,0.9562383612662941,0.4581005586592179,5.328282828282829,5.371147540983607,6.642857142857142,4.660748256182625,6.043040293040293
