poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days
0,2017-10-12,2017-10-20,11,afd,11.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,False,True,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
0,2017-10-12,2017-10-20,11,cdu/csu,32.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,4.0,CDU/CSU,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
0,2017-10-12,2017-10-20,11,fdp,11.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,3.0,FDP,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
0,2017-10-12,2017-10-20,11,grüne,10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,1.0,Bündnis 90/Die Grünen,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
0,2017-10-12,2017-10-20,11,linke,10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,0.0,Die Linke,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
0,2017-10-12,2017-10-20,11,spd,20.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,True,False,2.0,SPD,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017,10,8
1,2017-10-20,2017-11-09,12,afd,12.0,11.0,1.0,1.0,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,0,1,0,1,1,1,1,536.0,False,True,,,0.0,1.0,0.0,1.0,1.0,6,0,0,0,1,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,Opposition,0.0,1.0,19,WP19,2017,10,20
1,2017-10-20,2017-11-09,12,cdu/csu,31.0,32.0,-1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,1,0,656.0,True,False,4.0,CDU/CSU,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Regierung,1.0,0.0,19,WP19,2017,10,20
1,2017-10-20,2017-11-09,12,fdp,12.0,11.0,1.0,1.0,0.3333333333333333,1.0,,0.0,1.0,0.0,,,,,,0,0,0,0,0,1,0,479.0,True,False,3.0,FDP,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19,WP19,2017,10,20
1,2017-10-20,2017-11-09,12,grüne,11.0,10.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,2,0,894.0,True,False,1.0,Bündnis 90/Die Grünen,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19,WP19,2017,10,20
