poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
54,2019-12-05,2019-12-13,15,0.22666666666666666,0.68,1.4029166666666666,0.2,0.4066666666666667,0.07333333333333333,2.0588235294117645,0.75,0.9615384615384616,0.9795918367346939,0.8695652173913043,17,16,26,49,46,150,80,590.22,0.11333333333333333,0.10666666666666667,0.17333333333333334,0.32666666666666666,0.30666666666666664,mainstream_all,19,2019,12,8,WP19
55,2019-12-13,2020-01-09,15,0.22580645161290322,0.6774193548387096,2.290453074433657,0.16451612903225807,0.4161290322580645,0.0967741935483871,2.371794871794872,1.96875,0.6666666666666666,2.6363636363636362,1.537037037037037,78,32,21,99,108,310,206,608.0774193548388,0.25161290322580643,0.1032258064516129,0.06774193548387097,0.3193548387096774,0.34838709677419355,mainstream_all,19,2019,12,27,WP19
56,2020-01-09,2020-01-24,14,0.13692946058091288,0.4107883817427386,1.987711213517665,0.1078838174273859,0.26141078838174275,0.04149377593360996,2.5454545454545454,3.3157894736842106,0.6923076923076923,1.982905982905983,1.651685393258427,77,19,26,117,89,241,217,607.7634854771784,0.31950207468879666,0.07883817427385892,0.1078838174273859,0.4854771784232365,0.36929460580912865,mainstream_all,19,2020,1,15,WP19
57,2020-01-24,2020-02-06,14,0.211340206185567,0.634020618556701,1.8280361757105943,0.18041237113402062,0.422680412371134,0.030927835051546393,1.9642857142857142,1.7777777777777777,0.5263157894736842,1.706896551724138,1.5454545454545454,56,18,19,58,66,194,129,594.3711340206186,0.28865979381443296,0.09278350515463918,0.0979381443298969,0.29896907216494845,0.3402061855670103,mainstream_all,19,2020,1,13,WP19
58,2020-02-06,2020-02-13,14,0.15833333333333333,0.475,1.0268817204301075,0.15,0.25,0.075,1.0,1.0,0.0,0.3333333333333333,1.0,7,4,1,6,29,40,31,547.6,0.175,0.1,0.025,0.15,0.725,mainstream_all,19,2020,2,7,WP19
59,2020-02-13,2020-03-05,14,0.20420420420420418,0.6126126126126126,1.847777777777778,0.15765765765765766,0.35135135135135137,0.1036036036036036,2.1777777777777776,3.0555555555555554,1.6111111111111112,1.4210526315789473,1.7142857142857142,45,36,18,57,98,222,150,588.6981981981982,0.20270270270270271,0.16216216216216217,0.08108108108108109,0.25675675675675674,0.44144144144144143,mainstream_all,19,2020,2,21,WP19
60,2020-03-05,2020-03-20,12,0.2078853046594982,0.6236559139784946,1.6820866141732282,0.13709677419354838,0.3951612903225806,0.0913978494623656,1.8059701492537314,2.464788732394366,0.5306122448979592,1.7352941176470589,1.3421052631578947,67,71,49,102,152,372,254,590.2177419354839,0.18010752688172044,0.19086021505376344,0.13172043010752688,0.27419354838709675,0.40860215053763443,mainstream_all,19,2020,3,15,WP19
61,2020-03-20,2020-04-02,10,0.12056737588652482,0.3617021276595745,1.5456989247311828,0.19148936170212766,0.1276595744680851,0.0425531914893617,1.0,4.0,0.0,1.6956521739130435,1.2777777777777777,2,2,1,23,18,47,31,645.531914893617,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.48936170212765956,0.3829787234042553,mainstream_all,19,2020,3,13,WP19
62,2020-04-02,2020-04-17,10,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2020,4,15,
63,2020-04-17,2020-05-07,9,0.17964071856287425,0.5389221556886228,1.8333333333333335,0.17964071856287425,0.33532934131736525,0.023952095808383235,1.59375,3.4375,0.9,2.0681818181818183,1.7636363636363637,32,16,10,44,55,167,106,596.5269461077844,0.19161676646706588,0.09580838323353294,0.059880239520958084,0.2634730538922156,0.32934131736526945,mainstream_all,19,2020,4,20,WP19
64,2020-05-07,2020-05-15,9,0.17982456140350878,0.5394736842105263,1.7130584192439862,0.15789473684210525,0.34210526315789475,0.039473684210526314,1.5813953488372092,3.0,0.7777777777777778,1.6741573033707866,1.6181818181818182,43,28,18,89,110,304,194,582.6578947368421,0.14144736842105263,0.09210526315789473,0.05921052631578947,0.29276315789473684,0.3618421052631579,mainstream_all,19,2020,5,8,WP19
65,2020-05-15,2020-06-04,10,0.17019133937562939,0.5105740181268882,1.5166666666666666,0.13293051359516617,0.32628398791540786,0.0513595166163142,1.875,2.566666666666667,0.9607843137254902,1.4615384615384615,0.993103448275862,64,30,51,104,145,331,232,611.2930513595167,0.1933534743202417,0.09063444108761329,0.1540785498489426,0.31419939577039274,0.4380664652567976,mainstream_all,19,2020,5,20,WP19
66,2020-06-04,2020-06-26,9,0.19099756690997566,0.572992700729927,1.9552545155993433,0.15328467153284672,0.35766423357664234,0.06204379562043796,1.8518518518518519,2.3636363636363638,0.8571428571428571,2.0786516853932584,1.8571428571428572,54,22,35,89,105,274,203,606.4416058394161,0.19708029197080293,0.08029197080291971,0.12773722627737227,0.3248175182481752,0.38321167883211676,mainstream_all,19,2020,6,22,WP19
67,2020-06-26,2020-07-02,10,0.11515151515151514,0.34545454545454546,1.3103448275862069,0.07272727272727272,0.2727272727272727,0.0,2.0,5.5,,0.5714285714285714,1.1851851851851851,9,2,0,7,27,55,29,634.0727272727273,0.16363636363636364,0.03636363636363636,0.0,0.12727272727272726,0.4909090909090909,mainstream_all,19,2020,6,6,WP19
68,2020-07-02,2020-07-24,10,0.23538011695906433,0.706140350877193,2.1024590163934427,0.18421052631578946,0.4692982456140351,0.05263157894736842,2.22,4.0,1.3846153846153846,2.280701754385965,1.5,50,14,13,57,56,228,122,623.780701754386,0.21929824561403508,0.06140350877192982,0.05701754385964912,0.25,0.24561403508771928,mainstream_all,19,2020,7,22,WP19
69,2020-07-24,2020-08-06,11,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2020,7,13,
70,2020-08-06,2020-08-21,11,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2020,8,15,
71,2020-08-21,2020-09-03,10,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2020,8,13,
