operationalization,comparison,bootstrap_type,p_value
distance,Volkzentrierung minus Anti-Elitismus,WCR11,0.000
distance,Volkzentrierung minus Anti-Elitismus,WCR31,0.062
distance,Volkzentrierung minus Ausschluss von Outgroups,WCR11,0.000
distance,Volkzentrierung minus Ausschluss von Outgroups,WCR31,0.000
distance,Anti-Elitismus minus Ausschluss von Outgroups,WCR11,0.000
distance,Anti-Elitismus minus Ausschluss von Outgroups,WCR31,0.062
