operationalization,feature,feature_label,bootstrap_type,p_value
absolute,P1_people,Volkzentrierung,WCR11,0.000
absolute,P1_people,Volkzentrierung,WCR31,0.000
absolute,P2_anti_elite,Anti-Elitismus,WCR11,0.000
absolute,P2_anti_elite,Anti-Elitismus,WCR31,0.000
absolute,P3_outgroup,Ausschluss von Outgroups,WCR11,0.000
absolute,P3_outgroup,Ausschluss von Outgroups,WCR31,0.062
