Partei,Rolle,n Partei–Intervalle,n Reden
afd,Opposition,,6286.0
cdu/csu,Opposition,62.0,4818.0
cdu/csu,Regierung,88.0,7120.0
cdu/csu,,31.0,
fdp,Opposition,79.0,2710.0
fdp,Regierung,62.0,2517.0
fdp,,40.0,
spd,Regierung,150.0,9720.0
spd,,31.0,
grüne,Opposition,88.0,3138.0
grüne,Regierung,62.0,3053.0
grüne,,31.0,
linke,Opposition,148.0,4506.0
linke,,33.0,
