Variable,N,M,SD,Mdn,Min.,Max.,Schiefe
Intervalllänge in Tagen,905,16.784530386740332,7.754743297633007,15.0,3.0,43.0,0.6832569946290629
Reden pro Partei–Intervall,905,41.52707182320442,41.158252577626875,32.0,0.0,242.0,1.3714799476061534
AfD-Unterstützung,905,14.624309392265193,4.092712224857493,14.0,9.0,26.0,0.9364194100788643
Veränderung der Parteiunterstützung,893,-0.019036954087346025,1.136766504149262,0.0,-5.0,8.0,0.2759977618940083
Absolute Veränderung der Parteiunterstützung,893,0.7670772676371781,0.8387691652849933,1.0,0.0,8.0,2.059812675416274
Mittlerer Populismusindex pro Partei–Intervall,739,0.2873119083403865,0.18781128024172847,0.2444444444444444,0.0,1.5,1.5581421024881301
Mittlere Populismussumme pro Partei–Intervall,739,0.8619357250211596,0.5634338407251854,0.7333333333333333,0.0,4.5,1.558142102488131
Mittlerer GAL–TAN-Index pro Partei–Intervall,732,1.9227961961567048,0.9987192490587795,1.5734478935698448,0.0,7.677777777777777,1.515788704649928
Mittlere Wortzahl pro Partei–Intervall,739,615.1592536116275,129.2176041757653,607.8717948717949,271.0,2097.0,3.477642638268262
