Partei,N,M,SD,Mdn,Min.,Max.,% Verlust,% unverändert,% Gewinn
cdu/csu,180,-0.022222222222222223,1.4297538779309955,0.0,-5.0,4.0,33.70165745856354,30.939226519337016,34.806629834254146
fdp,180,-0.044444444444444446,0.8640700249803379,0.0,-3.0,2.0,29.83425414364641,43.0939226519337,26.519337016574585
spd,180,-0.03888888888888889,1.174038957453657,0.0,-5.0,4.0,33.14917127071823,34.806629834254146,31.491712707182316
grüne,180,0.011111111111111112,1.3370061146882768,0.0,-5.0,8.0,34.25414364640884,34.806629834254146,30.386740331491712
linke,173,0.0,0.7071067811865477,0.0,-2.0,3.0,19.88950276243094,55.80110497237569,19.88950276243094
