Dimension,N,n = 0,% = 0,n = 1,% = 1,n = 2,% = 2,M,SD
Volkszentrierung,43868,31357,71.48035014133309,11141,25.39664447889122,1370,3.1230053797756905,0.316426552384426,0.5279841395434629
Anti-Elitismus,43868,22480,51.244643019969,16310,37.17972098112519,5078,11.57563599890581,0.6033099297893681,0.6861854791039156
Ausschluss von Outgroups,43868,38745,88.32178353241544,4140,9.437403118446248,983,2.240813349138324,0.13919029816722897,0.4057540869060782
