research_question,operationalization,effect,focal_term,N,b,SE,t,p_raw,CI_low,CI_high,R2,R2_adj,p_Holm_family,significant_Holm_family_005,p_Holm_all,significant_Holm_all_005
FF3,Distanz zur AfD,rhetorische Distanz zur AfD t-1 -> positionelle Distanz zur AfD t,rhetoric_distance_lag1,129,1.425,0.473,3.013,0.003,0.498,2.352,0.094,0.057,0.005,True,0.010,True
FF4,Distanz zur AfD,positionelle Distanz zur AfD t-1 -> rhetorische Distanz zur AfD t,position_distance_lag1,131,0.011,0.037,0.293,0.769,-0.062,0.084,0.110,0.074,0.769,False,1.000,False
