status,is_opposition,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
Regierung,0,0.010,0.001,8.816,0.001,0.007,0.013,True
Opposition,1,0.002,0.002,1.045,0.355,-0.004,0.008,False
