status,is_opposition,effect_afd_support,cluster_robust_se,t_value,p_value,ci_95_low,ci_95_high,significant_05
Regierung,0,0.010,0.002,5.042,0.007,0.004,0.015,True
Opposition,1,0.017,0.003,6.163,0.004,0.009,0.025,True
