afd_support_t,is_opposition,party_clean,wahlperiode_cat,afd_support_c,afd_x_opposition,status,predicted_distance,ci_95_low,ci_95_high
9.000,0,cdu/csu,WP19,-5.563,-0.000,Regierung,0.746,0.704,0.787
9.172,0,cdu/csu,WP19,-5.391,-0.000,Regierung,0.747,0.707,0.788
9.343,0,cdu/csu,WP19,-5.219,-0.000,Regierung,0.749,0.709,0.789
9.515,0,cdu/csu,WP19,-5.048,-0.000,Regierung,0.751,0.711,0.790
9.687,0,cdu/csu,WP19,-4.876,-0.000,Regierung,0.752,0.713,0.792
9.859,0,cdu/csu,WP19,-4.704,-0.000,Regierung,0.754,0.715,0.793
10.030,0,cdu/csu,WP19,-4.533,-0.000,Regierung,0.755,0.717,0.794
10.202,0,cdu/csu,WP19,-4.361,-0.000,Regierung,0.757,0.719,0.795
10.374,0,cdu/csu,WP19,-4.189,-0.000,Regierung,0.759,0.721,0.797
10.545,0,cdu/csu,WP19,-4.017,-0.000,Regierung,0.760,0.723,0.798
10.717,0,cdu/csu,WP19,-3.846,-0.000,Regierung,0.762,0.725,0.799
10.889,0,cdu/csu,WP19,-3.674,-0.000,Regierung,0.764,0.727,0.801
11.061,0,cdu/csu,WP19,-3.502,-0.000,Regierung,0.765,0.729,0.802
11.232,0,cdu/csu,WP19,-3.331,-0.000,Regierung,0.767,0.730,0.803
11.404,0,cdu/csu,WP19,-3.159,-0.000,Regierung,0.769,0.732,0.805
11.576,0,cdu/csu,WP19,-2.987,-0.000,Regierung,0.770,0.734,0.806
11.747,0,cdu/csu,WP19,-2.815,-0.000,Regierung,0.772,0.736,0.808
11.919,0,cdu/csu,WP19,-2.644,-0.000,Regierung,0.773,0.738,0.809
12.091,0,cdu/csu,WP19,-2.472,-0.000,Regierung,0.775,0.740,0.811
12.263,0,cdu/csu,WP19,-2.300,-0.000,Regierung,0.777,0.741,0.812
12.434,0,cdu/csu,WP19,-2.129,-0.000,Regierung,0.778,0.743,0.814
12.606,0,cdu/csu,WP19,-1.957,-0.000,Regierung,0.780,0.745,0.815
12.778,0,cdu/csu,WP19,-1.785,-0.000,Regierung,0.782,0.746,0.817
12.949,0,cdu/csu,WP19,-1.613,-0.000,Regierung,0.783,0.748,0.818
13.121,0,cdu/csu,WP19,-1.442,-0.000,Regierung,0.785,0.750,0.820
13.293,0,cdu/csu,WP19,-1.270,-0.000,Regierung,0.787,0.751,0.822
13.465,0,cdu/csu,WP19,-1.098,-0.000,Regierung,0.788,0.753,0.823
13.636,0,cdu/csu,WP19,-0.927,-0.000,Regierung,0.790,0.754,0.825
13.808,0,cdu/csu,WP19,-0.755,-0.000,Regierung,0.791,0.756,0.827
13.980,0,cdu/csu,WP19,-0.583,-0.000,Regierung,0.793,0.757,0.829
14.152,0,cdu/csu,WP19,-0.411,-0.000,Regierung,0.795,0.759,0.830
14.323,0,cdu/csu,WP19,-0.240,-0.000,Regierung,0.796,0.760,0.832
14.495,0,cdu/csu,WP19,-0.068,-0.000,Regierung,0.798,0.762,0.834
14.667,0,cdu/csu,WP19,0.104,0.000,Regierung,0.800,0.763,0.836
14.838,0,cdu/csu,WP19,0.275,0.000,Regierung,0.801,0.765,0.838
15.010,0,cdu/csu,WP19,0.447,0.000,Regierung,0.803,0.766,0.840
15.182,0,cdu/csu,WP19,0.619,0.000,Regierung,0.804,0.767,0.842
15.354,0,cdu/csu,WP19,0.791,0.000,Regierung,0.806,0.769,0.843
15.525,0,cdu/csu,WP19,0.962,0.000,Regierung,0.808,0.770,0.845
15.697,0,cdu/csu,WP19,1.134,0.000,Regierung,0.809,0.771,0.847
15.869,0,cdu/csu,WP19,1.306,0.000,Regierung,0.811,0.773,0.849
16.040,0,cdu/csu,WP19,1.477,0.000,Regierung,0.813,0.774,0.851
16.212,0,cdu/csu,WP19,1.649,0.000,Regierung,0.814,0.775,0.853
16.384,0,cdu/csu,WP19,1.821,0.000,Regierung,0.816,0.776,0.855
