hypothesis,level,operationalization,model_label,model,outcome,predictor,expected_direction,hac_lag,coefficient,standard_error,test_statistic,p_value,ci_95_low,ci_95_high,n_observations,n_periods,r_squared,adjusted_r_squared,supported,interpretation
H1,mainstream_polling_interval,distance_to_afd,Positionelle Distanz zur AfD,wahlperiode_fixed_effects,gal_tan_distance_to_afd,afd_support_t,negative,4,-0.024,0.019,-1.293,0.198,-0.061,0.013,148,3,0.027,0.007,False,"Positionelle Distanz zur AfD: Der Koeffizient weist in die erwartete Richtung, ist aber nicht statistisch signifikant."
H1,mainstream_polling_interval,absolute_gal_tan,Absolute GAL-TAN-Position,wahlperiode_fixed_effects,mean_gal_tan_score,afd_support_t,positive,4,0.073,0.020,3.665,0.000,0.034,0.112,150,3,0.332,0.319,True,Absolute GAL-TAN-Position: Der Koeffizient weist in die erwartete Richtung und ist statistisch signifikant.
