mean_gal_tan_score,afd_support_t,wahlperiode_cat,poll_date,afd_mean_gal_tan_score,gal_tan_distance_to_afd
2.429,19,WP20,2024-03-07,7.066,4.637
2.199,18,WP20,2024-04-04,7.631,5.432
2.066,18,WP20,2024-05-02,7.060,4.994
2.588,18,WP20,2024-05-30,7.711,5.122
2.110,17,WP20,2024-07-04,7.490,5.380
2.598,17,WP20,2024-09-05,8.209,5.611
2.622,17,WP20,2024-10-10,7.394,4.772
2.660,17,WP20,2024-10-31,8.417,5.757
2.425,18,WP20,2024-11-07,8.430,6.006
3.025,19,WP20,2024-11-21,8.562,5.538
2.579,18,WP20,2024-12-05,7.560,4.982
2.946,19,WP20,2024-12-19,7.197,4.251
4.888,20,WP20,2025-01-09,8.722,3.835
2.789,20,WP20,2025-01-30,8.566,5.777
4.262,21,WP20,2025-02-06,8.300,4.038
2.763,21,WP20,2025-03-06,6.250,3.487
1.000,24,WP21,2025-04-03,,
2.127,23,WP21,2025-05-07,7.583,5.457
2.017,23,WP21,2025-06-04,8.020,6.002
1.959,23,WP21,2025-07-03,7.854,5.895
2.154,25,WP21,2025-09-03,7.817,5.663
2.317,26,WP21,2025-10-02,7.787,5.470
2.156,26,WP21,2025-11-06,7.767,5.611
2.053,25,WP21,2025-12-04,6.942,4.889
2.663,25,WP21,2026-01-08,6.581,3.918
